Country,Cluster,Objective,Activity,Indicator,Unit,Chad_Target,Barh El Gazel_Target,Batha_Target,Borkou_Target,Chari Baguirmi_Target,Ennedi Est_Target,Guera_Target,Hadjer Lamis_Target,Kanem_Target,Lac_Target,Logone Occidental_Target,Logone Oriental_Target,Mandoul_Target,Mayo Kebbi Est_Target,Mayo Kebbi Ouest_Target,Moyen Chari_Target,NDjamena_Target,Ouaddai_Target,Salamat_Target,Sila_Target,Tandjile_Target,Tibesti_Target,Wadi Fira_Target
Chad,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Restaurer des moyens d’existence des personnes affectées par des catastrophes naturelles par des activités génératrices de revenue, soutien de microprojets.",Nombre de microprojets soutenus,Projects,,,,,,,,,,,,,,,,,,,,10,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Restaurer des moyens d’existence des personnes affectées par des catastrophes naturelles par des activités génératrices de revenue, soutien de microprojets.",Nombre de personnes ayant recu un soutien de restauration de leur moyen d'existence,People,,,,,,,,,,,9000,9000,,,,12000,,,,,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Restaurer les moyens d’existence des retournés et populations hôtes vulnérables par des activités génératrices de revenue.,Nombre de personnes ayant recu un soutien de restauration de leur moyen d'existence,People,,,,,,,,,,,60000,60000,3120,,,80000,,,3120,,,,
Chad,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Soutien à la réhabilitation des infrastructures de base dans des communautés ayant accueilli des retournés.,Nombre de projets d'infrastructure de base réalisés,Projects,,,,,,,,,,,3,3,,,,4,,,,,,,
Chad,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Humanitarian missions are supported with relevant security Analysis,Number of mission supported,Missions,,,,,,,,,,9,,,,,,,,,,,,,
Chad,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deployment of Rapid Response Mechanism (RRM) Teams,Monthly Multisector surveys realized,Surveys,,,,,12,,,,,,12,12,,12,12,12,,,,,12,,
Chad,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deployment of Rapid Response Mechanism (RRM) Teams,Number of early warnings informing on children and women status,Alerts,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deployment of Rapid Response Mechanism (RRM) Teams,Number of rapid assessments realized with 72 hours after the alert,Assessments,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Deployment of Rapid Response Mechanism (RRM) Teams,Number of targeted people receiving a NFI kits within two weeks after the rapid assement report is issued,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Coordinate the development of the Humanitarian Needs Overview and the Humanitarian Response Plan.,A Humanitarian Needs Overview and a Humanitarian Response Plan is developed,Documents,2,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Develop and disseminate humanitarian information through key products such as Situation Reports, Humanitarian Bulletins and Snapshots",Information products are developed and disseminated,Supports,100,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organize/facilitate advocacy events to create more visibility at the national and international level,Advocacy events are organized or facilitated,Events,15,,,,,,,,,,,,,,,,,,,,,,
Chad,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the HC, the HCT and the ICC in the implementation of their decisions and recommendations.",HCT recommendations and decisions are implemented or actively pursued,Actions,100,,,,,,,,,,,,,,,,,,,,,,
Chad,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strenghen the capacities of multisectoral platforms at the local level (CRA/ CDA/CLA) to analyse the food and nutritional situation, and share the information with the CASAGC ; thus update the Information System on food security as well as early warning and establish local contingency plans that integrate food security and nutrition.",Number of regions where the capacities of multisectoral platforms at the local level (CRA/ CDA/CLA) are strenghened to analyse the food and nutrional situation and share the information with the CASAGC ; thus update the Information System on food security as well as early warning and establish local contingency plans that integrate food security and nutrition.,Regions,,1,1,,,,1,,1,1,1,,1,,,,,1,,1,,,1
Chad,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Distribution of seeds to displaced households affected by Boko Haram violences (Lake region),Number of displaced households affected by Boko Haran violences (Lake region) who received seeds distribution,Households,,,,,,,,,,1250,,,,,,,,,,,,,
Chad,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthen and diversity livelihoods of vulnerable populations in face of agro-climatic shocks through income-generating activities (processions post- harvest, hullers, soap making etc.) with a better access to micro-finance","Number of households benefiting from the strenghtening and diversification of their livelihoods in face of agro-climatic shocks through income-generating activities (processions post- harvest, hullers, soap making etc.) with a better access to micro-finance",Households,,64,125,,,,105,,90,108,,,,,,,,238,,100,,,170
Chad,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support the capacities of national actors, who support vulnerable population, to better face shocks, notably in the current process (AGIR, REACH, SUN…), and in the creation of a common vulnerable populations' registry (health, nutrition, social nets etc.)","Number of regions where the capacities of national actors, who support vulnerable population, to better face shocks, are strengthened, notably in the current process (AGIR, REACH, SUN…), and in the creation of a common vulnerable populations’ registry (health, nutrition, social nets etc.)",Regions,,1,1,,,,,,1,1,,1,1,,,,,1,,1,,,1
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribution (in-kind, monetary or by cheque) to displaced households, victims of Boko-Haram reprisals (Lake region)","Number of displaced people and returnees victims of Boko Haram reprisals (Lake region) that have benefited from distributions (in-kind, monetary or by cheque)",People,,,,,,,,,,10000,,,,,,,,,,,,,
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of food ration to school students (school canteens),Number of children attending school and receiving food ration through school canteens,Children,,15707,18873,,,2051,55435,,30957,,,,,,,,,53899,,19182,,,11699
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distributions (in-kind, monetary or by cheque) to displaced and retuned households, victims of the Darfur crisis","Number of displaced and returnee people, victims of the Darfur crisis who benefited from the distributions (in-kind, monetary or by cheque)",People,,,,,,,,,,,,29834,34493,,,,,132164,,59483,,,96026
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distributions (in-kind, monetary or by cheque) to displaced and retuned households, victims of the RCA crisis","Number of displaced and returnee people, victims of the RCA crisis who benefited from the distributions (in-kind, monetary or by cheque)",People,,,8780,,,,,,,,,5776,7123,,,,,28213,,12959,,,20929
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Seasonal distribution to the most vulnerable people (in-kind, monetary or by cheque)",Number of people who benefited from seasonal distributions (in-kind monetary or by cheque),People,,4525,8780,,,,7450,,6362,7614,,,,,,,,16714,,7072,,,12108
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support vulnerable households affected by population movement and that have agricultural or livestock activities (distribution of seeds and agricultural tools, strengthening technical capacities etc.)","Number of vulnerable households affected by population movement and having agricultural or livestock activities that received a support (distribution of seeds and agricultural tools, strengthening technical capacities etc.)",Households,,,,,,,,,,,331,,403,,,,,1528,,714,,,1024
Chad,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support vulnerable households with agricultural or livestock activities = (distribution of seeds and agricultural tools, restoration of herds, livestock vaccination, strengthening technical capacities etc.)","Number of vulnerable households having received a support for their agricultural or livestock activities = (distribution of seeds and agricultural tools, restoration of herds, livestock vaccination, strengthening technical capacities etc.)",Households,,2036,4474,,,,3797,,3247,3881,,,,,,,,8519,,3605,,,617
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Aircraft load rate,Numbers,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Number of medical and security evacuations,Numbers,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Number of passengers transported,Numbers,45930,,,,,,,,,,,,,,,,,,,,,,
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Number of rapid assessments organised,Numbers,212,,,,,,,,,,,,,,,,,,,,,,
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Number of uninterrupted air transport services,Numbers,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implement uninterrupted air services to all aid organisations to support humanitarian efforts in Chad,Tonnage of humanitarian freight transported,Tons,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure the access to drinking water, wastewater facilities, household items and good hygiene practices for affected populations in relocation sites during floods and in villages after floods","Number of people with an access to drinking water, wastewater facilities, household items and good hygiene practices for affected populations in relocation sites during floods and in villages after floods",People,,500,5000,,7500,,5000,5000,,5000,5000,5000,5000,8500,7500,7000,8500,5000,7500,6500,6500,,
Chad,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure the acquisition and the pre-positioning of WASH cholera response inputs, awareness-raising broadcasts in the 37 districts at risk","Number of people whom the WASH cholera response inputs, awareness-raising broadcasts in the 37 districts at risk have reached",People,100000,,,,,,,,,50000,,,,,40000,,100000,,,,,,
Chad,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure the effective acquisition and the pre-positioning of WASH natural disasters response inputs (water treatment materials, buckets, cans, jerry cans, soaps, portable toilets, disinfectants, plastic sheeting etc.) in high-risk zones, totalling more than 300,000 people at risk",Number of regions having benefited from the effective acquisition and pre-positioning of WASH inputs,Regions,,1,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,
Chad,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Supports care activities in cholera treatment centers with the execution of WASH works and the provision of disinfection and safety materials,Number of cholera treatment centers receiving a support to care activities with the execution of WASH works and the provision of disinfection and safety materials,Cholera Treatment Centres,50,,,,,,,,,25,,,,,15,,10,,,,,,
Chad,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Train community relays and local hygiene and sanitation technicians on WASH response activities to outbreaks, notably the disinfection, sanitation (management of solid and liquid waste), drinking water potability, hygiene promotion (personal, food, environment and water hygiene)","Number of community relays and local hygiene and sanitation technicians having benefited from a training on WASH response activities to outbreaks, notably the disinfection, sanitation (management of solid and liquid waste), drinking water potability, hygiene promotion (personal, food, environment and water hygiene)",Community Relays,,,,,,,,,,300,,,,,150,,50,,,,,,
Chad,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Deliver a minimum WASH package (access to drinking water, hygiene education, sewerage, and households’ items) in compliance with primary emergency standards to newly displaced populations, returnees and refugees","Humber of people having received a minimum WASH package (access to drinking water, hygiene education, sewerage, and households’ items) in compliance with primary emergency standards to newly displaced populations, returnees and refugees",People,,,,,,,,,,13000,1500,11500,7000,,,,4000,,,,,,
Chad,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure that a minimum WASH package (access to drinking water, sanitation, hygiene education, NFI) is provided to mother/children couples with SAM (training on water treatment at home, hygiene education, construction of water points in villages, distribution of water treatment products, soaps and water conservation equipment etc.)","Number of couples (mother/children) having received the minimum WASH package (access to drinking water, sanitation, hygiene education, NFI) and suffering from SAM (training on water treatment at home, hygiene education, construction of water points in villages, distribution of water treatment products, soaps and water conservation equipment etc.)",Child/mother Couples,,8548,9100,,,,8500,8900,8500,9500,,,,,,,8500,8000,8500,8500,,,9000
Chad,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Improve the drinking water and sanitation coverage in returnees, former displaced and refugees sites and host communities","Number of people having benefited from the improved coverage in drinking water and sanitation in returnees, former displaced and refugees sites and host communities",People,,,,,,,,,,5250,4500,43091,30150,,,35406,7500,40608,5345,90150,,,73000
Chad,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Improve the hygiene and sanitation conditions in nutritional centers through the construction of water, sanitary and hygiene infrastructures (water points, latrines and hand-washing stations, incinerators, provision of hygiene product such as bleach and soaps, training of health agents on hygiene sanitation and drinking water etc.)","Number of therapeutic nutritional and ambulatory nutritional centers that received a support to improve the hygiene and sanitation conditions in nutritional centers through the construction of water, sanitary and hygiene infrastructures (water points, latrines and hand-washing stations, incinerators, provision of hygiene product such as bleach and soaps, training of health agents on hygiene sanitation and drinking water etc.)",Nutritional Centers,,44,45,,,,40,43,45,44,,,,,,,45,42,44,45,,,45
Chad,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthen the management and actions appropriation community capacities through the training of management committees, training on basic community approaches and community relations","Number of communities/villages having benefited from the strengthening of the management and actions appropriation community capacities through the training of management committees, training on basic community approaches and community relations",Communities,,,,,50,,,,,100,,,,75,75,50,50,,25,25,50,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Allocation of farmlands to refugees,Land surface allocated to refugees,Hectares,30000,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Care for malnourished children,Number of children with malnutrition cared for,Children,36000,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conduct a training and a certification in 5 professional centers by strengthening the training capacities in these places,Number of professional training centers supported with the organisation of a training and certification to refugees,Centers,5,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conduct campaigns for a peaceful coexistence in camps and refugee sites,Number of awareness campaigns conducted for a peaceful coexistence,Campaigns,110,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute agricultural and farming production kits (seeds, small cattle tools and fishing equipment etc.)",Number of refugees receiving agricultural and farming kits,People,60000,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the access to 15 liter of water per day per person in refugee camps located in the east,Number of water points for 100 refugees,Water Points,100,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the biometric registration,Number of people biometrically registered,People,2500,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the schooling of refugee children by improving schools' absorption capacity (classrooms and equipment),Number of children going to school,Children,96539,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Food distribution (in-kind, monetary or by cheque) to RCA and Nigerian refugees",Number of refugees receiving a food assistance,Staff,152892,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Identify and monitor children at risk and assess the determination of the best interests,Number of assessments conducted,Evaluations,1145,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Number of refugees from the RCA that received identity papers,Number of refugees from Sudan that received identity papers,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a support and quality services to victims of sexual and gender-based violences,Number of VGBV victims that received a quality assistance,People,970,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide birth certificates (east of Chad),Number of birth certificates provided,Documents,13250,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide identity papers to refugees and advocate for the extension of their validity,Number of refugees from the RCA that received identity papers,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide primary health care to refugees in camps/sites/villages or allow an access to national and governmental health structures,Number of refugees having access to primary health care,People,515662,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthening the capacity and restructuring of water management committees for a better use of the water supply,Number of water management committee which capacities have been strengthened,Commitees,57,,,,,,,,,,,,,,,,,,,,,,
Chad,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Train teachers on the subject of didactical model,Number of teachers trained,Teachers,678,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Implement a joint database the registration and the physical check of onsite returnees to guide the planning of assistance,Number of joint databases developed,Databases,1,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implementation of participatory community mechanisms by establishing functional sectorial committees (women committees, young people committees etc.) in the sites with the aim of improving information sharing, social cohesion between returnees as well as a peaceful cohabitation with host populations",Number of functional committees inside sites,Commitees,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise a training on CCCM,Number of people trained,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training of site managers using the Training of Trainer in CCCM,Number of trainers trained on CCM for site managers,Trainers,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Construction of secured shelters for newcomers in the temporary sites of Kobiteye and Danamadja,Number of shelters built,Shelters,1441,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of kits and NFI to returnees on-site and off-site,Number of people having received kits and NFI,People,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Drainage works and distirbution of drainage kits for shelters in temporary sites,Percentage of people in need that received kits,Staff,0,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Identification of sustainable solutions for returnees,Number of returnees with an access to sustainable solutions,Returnees,4893,,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implementation of a strategy to maintain shelters located in transit and temporary sites (distribution of kits, equipment, trainings)",Percentage of deteriorated or maintained shelters,Shelters,,0,,,,,,,,,,,,,,,,,,,,,
Chad,Camp Coordination And Camp Management,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Relocation of returnees from transit sites to temporary sites,Number of people transferred in temporary sites,People,0,,,,,,,,,,,,,,,,,,,,,,
