Country,Cluster,Objective,Activity,Indicator,Unit,Nigeria_Target,Adamawa_Target,Bauchi_Target,Borno_Target,Gombe_Target,Kaduna_Target,Kano_Target,Nasarawa_Target,Plateau_Target,Rivers_Target,Taraba_Target,Yobe_Target,Zamfara_Target
Nigeria,Protection,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Train national and local authorities in emergency response,Number of Trainings held with partners/Number of Joint response activities conducted,Trainings,100,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocacy and technical support for improving standards, procedures, legal framework and specific policy in the area of IDP management",Number of advocacy/awareness raising workshops on the IDP legal framework and draft policy,Advocacy,2,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocacy and technical support for improving standards, procedures, legal framework and specific policy in the area of IDP management",Number of advocacy/awareness raising workshops on the IDP legal framework and draft policy,Advocacy actions,2,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocate for life saving assistance for conflict-affected people to receive essential assistance (food, water, medication, shelter and NFIs)",Number of advocacy meetings with state authorities?,Meetings,6,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocate for life saving assistance for conflict-affected people to receive essential assistance (food, water, medication, shelter and NFIs)",Number of communities where affected people expected to receive essential life-saving assistance,Communities,100,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build the capacity of state and NGO partners to be able to provide an effective response to support girls who have been subjected to SGBV and abuses by members of armed groups,Number of state and NGO partners staff members trained,Partners,60,0,,0,,,,,,,,0,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Conduct advocacy and provide technical support for improving standards, procedures, legal frameworks and specific policies in the area of IDP management",Number of advocacy/awareness raising workshops held on IDP legal framework and draft polocy,Advocacy actions,2,,0,,,,0,,0,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Establish or revitalize community support mechanisms and structures to protect vulnerable populations,Number of community structures and operational mechanisms disaggregated by type (protection),Mechanisms,5,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Establish or revitalize community support mechanisms and structures to protect vulnerable populations,Number of community structures and operational mechanisms disaggregated by type (protection),Structures,5,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","In partnership with Communities and Local Authorities, supporting the establishment of safety net for vulnerable families Mechanisms",Percentage of communities where coping and safety net mechanisms identified,Percentage,50,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide community-based psychosocial first aid, psychosocial support and remedial learning for children",Number of children provided with psychosocial support,Children,45000,0,,0,,,,,,,,0,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Raise awareness of prevention and response to GBV, including sexual violence",Number of community sensitisation sessions conducted,Sensitisations,100,,,,,,,,,,,,
Nigeria,Protection,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Raise awareness of prevention and response to GBV, including sexual violence",Number of community sensitisation sessions conducted,Sensitisations,100,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure the integration of the principles of protection, including Age, Gender and Diversity (""AGDM"" acronym) in all sectors of humanitarian response. Conduct awareness raising and training in ""Do No harm"" principles",Percentage of sector plans which are AGD sensitive,Percentage,50,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Establish a referral pathway for girls and women victims of violence,Referral mechanism for female victims of violence is established,Yes/No,0,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Establish a system to identify, document, trace and reunify children who have been separated from their families and to provide them with interim care and support",% of children registered as UASC taken in charge in adequate transit care structure,Percentage,100,0,,0,,,,,,,,0,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Establish chid friendly spaces,Number of child friendly spaces established,Spaces,50,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Establish chid friendly spaces,Number of children accessing child friendly spaces,Children,320000,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Extend the coverage of psychosocial programmes and access for vulnerable persons in the service of psychosocial support,Number of affected persons who received psychosocial support,People,155000,,,,,,,,,,,,
Nigeria,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Identify and build capacity of CSOs, communities and support groups on Child Safeguarding, Psychological First Aid (PFA) and Education in Emergencies",Mapping of actors completed and capacity-building activities underway,Maps,1,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop evidence-based advocacy messages to support in resource mobilization,Number of evidence based messages developed.,Messages,5,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Participate in a multi-sector mapping of vulnerabilities to design a comprehensive plan of action,Existence of a comprehensive plan of action,Action Plans,1,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Participate in a multi-sector mapping of vulnerabilities to design a comprehensive plan of action,Number of consultative meeting held with key partners,Meetings,5,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Share the analysis and advocate with concerned partners, including with national partners",Number of key messages developed and disseminated to actors,Messages,5,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support for the promotion and restoration of livelihoods for the most vulnerable, especially women and female heads of households","Percentage of vulnerable women or victims of conflict that received support (AGR, micro credit, etc.).",Percentage,20,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support to local institutions for the development of risk maps / vulnerabilities and early warning systems,Number of EWSs mapping,Maps,1,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Contingency stocks: Improving storage capacity at the household and community to ensure greater food security and NFI in emergencies.,Number of affected communities with food and NFI contingency stocks at community level,Communities,5,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Financial (grant) and in-kind support (start-up kits) for immediate resumption of economic activities for micro and small enterprises including short term skills training when possible,Number of affected households receiving financial and in kind support,Households,500,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Improve and integrate early warning systems at all levels of response,Percentage of sector plans which are AGD sensitive,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Monitor and support in prevention of disease outbreak,Percentage of affected households with access to a source of safe drinking-water,Percentage,20,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide livelihood support,Number of early warning systems developed and functional at all levels of response,Early Warning Systems,1,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide livelihood support,Percentage of affected population receiving livelihood support,Percentage,20,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Rehabilitate water services,Number of rehabilitated water point,Water Points,10,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support to the reconstruction/rehabilitation of basic services in affected areas (roads, bridges, schools or hospitals, post/health center, etc.)",Number of schools/bridges/roads/hospitals rehabilitated,Schools And Hospitals,10,,,,,,,,,,,,
Nigeria,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training of facilitators of community radios and networks of traditional communicators psychosocial programs and access for vulnerable persons in the service of psychosocial support,Number of radio facilitators trained.,Community Relays,100,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Advocacy with existing SPF schemes to ensure extensive coverage for the vulnerable population,Percentage of vulnerable people aware of SPF schemes,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Assets replacement grants and vocational training for females,Percentage of affected persons entitled to replacements grants that receive the grants,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Assets replacement grants and vocational training for females,Percentage of impacted women with access to vocational training,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Cash for work / food for work (gender) - cash for work rather than food for work activity = ""Initiate activities with the modality cash for work""",Percentage of women/men (people) employed under the schemas,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Cash-for-work and labour intensify schemes in other areas to be identified,Number of CFW employees.,Numbers,10000,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Create emergency employment opportunities for rehabilitation of community infrastructure and improving service delivery at the local level (including for most vulnerable),Number of community infrastructures rehabilitated,Structures,1000,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Create emergency employment opportunities for rehabilitation of community infrastructure and improving service delivery at the local level (including for most vulnerable),Number of Employment days generated.,Days,100000,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Develop a regional human development report on the North East.,Regional development report developed,Reports,1,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution / transfer of cash to the elderly and female-headed household,Percentage of elderly and number of female heads of household who have received the transfer.,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Engage communities and local authorities in social cohesion activities,Percentage of key stakeholders participating in social cohesion activities,Percentage,20,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Food security monitoring et early warning,Number of Early Warning Systems existing at local or national level,Early Warning Systems,1,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Integrated treatment for chronic acute malnutrition,Number of households with access to a source of safe drinking-water,Households,10000,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide agricultural input including improved seedlings, agricultural extension services for crop farmers",Percentage of Affected population receiving agricultural inputs,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide veterinary services to farmers who have lost livestock,Percentage of affected farmers with access to veterinary services,Percentage,50,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,TOT on Learning Initiative for Entrepreneurs,Number of TOTs conducted,Trainings,4,,,,,,,,,,,,
Nigeria,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Vocational training and skills development using ILO tools to promote skills building, job creation and start your business programmes for the vulnerable population",Percentage of affected population benefitting from vocational or skills-building programs,Percentage,20,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Advocate for increased support to national authorities currently charged with containing the cholera outbreak,"Number of key messages, IM and reporting products that raise the issue",Messages,10,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Build the capacity of national counterparts to increase the ability of national institutions to better prepare and respond to emergencies,Number of training sessions for national authorities and civil societies.,Trainings,5,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Build the capacity of national counterparts to increase the ability of national institutions to better prepare and respond to emergencies,Training workshops on developing state level contingency plans for emergency preparedness and response in selected states,Trainings,35,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct multi-sector risk, vulnerabilities and opportunities analysis to identify needs/gaps (SADD analysis)",Number of risk analysis that include SADD,Analysis,2,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct multi-sector risk, vulnerabilities and opportunities analysis to identify needs/gaps (SADD analysis)",Prioritization tool (PT) regularly updated,Prioritisation Tools,2,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Develop humanitarian information products as appropriate to support the situational understanding, humanitarian assessments and evidence based response","Number of key information products developed per reporting schedule (snapshots, dashboards. Sitreps, bulletins, 3Ws etc.)",Reports,20,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Mapping areas prone to epidemics, notably cholera",Number of ICV/PEV maps produced and shared,Maps,1,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen CCCM coordination capacities of NEMA in response to IDP crisis,Number of CCCM trainings conducted,Trainings,5,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support strategic coordination through the HCT, EPRWG/ISWG and sectors/clusters and participation of INGOS, NNGOs and government, where relevant.",Number of INGOs participating in ISWG/month,NNGOs,20,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support strategic coordination through the HCT, EPRWG/ISWG and sectors/clusters and participation of INGOS, NNGOs and government, where relevant.",Number of sector/cluster meetings/month,Meetings,12,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support strategic coordination through the HCT, EPRWG/ISWG and sectors/clusters and participation of INGOS, NNGOs and government, where relevant.",Number of UNCT/HCTmeetings/month,Meetings,12,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the development and review of the country/regional HNO and SRP,Number of HNO and SRP developed and updated,HNO/SRP,1,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the development and review of the country/regional HNO and SRP,Number of sector WG contributing to the elaboration of common strategy,Sectors,9,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Developing State/LGA capacity to gather, monitor displacements, report, assess and coordinate delivery of relief","Number of key messages, IM and reporting products that raise the issue",Messages,10,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Development of community preparedness and recovery plans,Number of IS strategic analysis communicated to HCT/UNCT,Analysis,4,,,,,,,,,,,,
Nigeria,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Facilitate SEMAs and other stakeholders on coordination and Civil-Military Coordination,Number of ICV/PEV maps produced and shared,Maps,1,,,,,,,,,,,,
Nigeria,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Establish and coordinate working group on education and child protection response,Working groups on education and child protection established,Yes/No,2,,,,,,,,,,,,
Nigeria,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Facilitate the implementation of the CERF,Percentage of partners aware of the CERF process,Percentage,100,,,,,,,,,,,,
Nigeria,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Review of 2014 and 2016 SRP,SRP Revision finalized,Yes/No,1,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analysis of the response capacity of different actors to address food insecurity in conflict affected areas,Number of analyses made.,Analysis,4,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identifying risk areas and vulnerable populations through joint analysis of Food Security, Nutrition, and Markets.",Number of joint analytical work leading to the identification of risk area,Analysis,12,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening food security coordination at regional / national and inter sector level,Number of inter sector meetings,Meetings,12,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthening national Early Warning Systems at national and sub-national levels,Number of State and Federal level staff trained and able to predict and mitigate food crises,Staff,400,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support communication and application/use of information for decision making by State and Federal government as well as development and humanitarian partners.,Reports used by States and Federal Government to inform policy and programs responses on food security and nutrition,Reports,4,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support knowledge management and adoption of good practices to ensure food security for people affected by conflict,Number of actions of capitalization of good food security practices in areas affected by a conflict.,Actions,2,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support selected states to carry-out vulnerability assessments, analysis and reporting;","Support selected states to carry-out vulnerability assessments, analysis and reporting.",Assessments,10,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Addressing the humanitarian impact of Malnutrition,Joint food security/nutrition training to promote good nutritional practices using appropriate training materials.,Trainings,1,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build capacity of local government institutions on programming for food and nutrition security,Number of local government institutions practicing programming for food and nutrition security.,Numbers,80,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conduct training and development of skills of national and state level experts on the use of IPC as a tool for food security vulnerability analysis and reporting.,Number of State and Federal level staff trained and able to use IPC as a tool for food security vulnerability analysis,Trainings,150,0,0,0,0,,,,0,,,0,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Development of contingency plans for ICV/PEV to ensure food security at community , national and regional levels",Contingency plan completed,Contingency Plans,1,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Joint food security/nutrition training to promote good nutritional practices using appropriate training materials,Number of people trained.,Staff,4000,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Pre-positioning of emergency food stocks at local, national and regional levels","Number of storage sites identified, brought up to standards and secured.",Storage Facilities,6,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote Conservation Agriculture (CA) techniques to farming systems in the northern states to build resilience and adaptation to drought and climate change,Farmers in the Sahel region adopting adaptation measures to reduce the impact of droughts and climate change.,Households,50000,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promotion of high nutritional value vegetable varieties production,Number of household beneficiaries.,Households,28000,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of P and VP households through the distribution of agricultural inputs where,Number of households assisted in irrigated crops,Households,20000,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protect and rehabilitate / strengthen livelihoods of P and VP households through the distribution of agricultural inputs where,Number of households assisted in the main season,Households,20000,,,,,,,,,,,,
Nigeria,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Timely sharing analysis and early warnings containing recommended preventive measures (awareness) at local, national and regional levels for all sectors",Number of timely issued alerts.,Alerts,12,,,,,,,,,,,,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute agricultural inputs (vegetable seeds, fertilizers, small agricultural tools, irrigation systems, agricultural material to build fences, etc.) to vulnerable households for rehabilitation of agriculture","Number of vulnerable household able to produce their own food using agricultural inputs (improved seeds, fertilizers, small agricultural tools, agricultural material to build fences, drought resistant vegetable varieties etc.) for all-year round production.",Households,3000000,,,,,,,,,,,,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute agricultural inputs (vegetable seeds, fertilizers, small agricultural tools, irrigation systems, agricultural material to build fences, etc.) to vulnerable households for rehabilitation of agriculture","Number of vulnerable household engaged in good agricultural marketing practices (storage, processing, and packaging).",Households,3000000,,,,,,,,,,,,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of free food assistance (in kind and/or cash transfer),Number of households assisted in the main season.,Households,620000,0,,0,,,,,,,,0,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Emergency distribution of agricultural and livestock inputs,Number of households assisted in the main season.,Households,400000,,,,,,,,,,,,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide unconditional cash transfers,Number of households receiving unconditional cash transfer,Households,30000,0,,0,,,,,,,,0,
Nigeria,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthening the food chain and marketing sector (storage, processing and transportation of agricultural goods).",Percentage decrease in malnutrition and stunting indicators among the vulnerable population.,Percentage,80,0,,0,,,,,,,,0,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish mechanism for monitoring and evaluation of cluster/sector group performance its interaction with other sectors,Number of WASH cluster members satisfied with the functioning of the WASH Cluster and its interaction with the other Clusters/Sectors in the preparedness for and response to crises,Members,5,,,,,,,,,,,,
Nigeria,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish mechanism for monitoring and evaluation of cluster/sector group performance its interaction with other sectors,Number of WASH cluster members satisfied with the functioning of the WASH Cluster and its interaction with the other Clusters/Sectors in the preparedness for and response to crises,Members,5,,,,,,,,,,,,
