Country,Cluster,Objective,Activity,Indicator,Unit,Niger_Target,Agadez_Target,Diffa_Target,Dosso_Target,Maradi_Target,Niamey_Target,Tahoua_Target,Tillabery_Target,Zinder_Target
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of psychologists in the field,Number of children monitored from home,Cases,,,10,,10,,,15,10
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of psychologists in the field,Number of counselling sessions organised for accompanying people,Consultations,,,,,,,,300,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of psychosocial facilitators in the field,Number of discussion sessions/support between accompanying people,Group Sessions,,,128,,128,,,104,128
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of psycho-social teams,Number of counselling sessions organised and benefiting targeted communities,Consultations,,,500,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of psycho-social teams,Number of discussion groups for adults and children implemented by the project,Group Sessions,,,768,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings and deployment of SGBV counsellors,Number of pyscho-social counsellors/GBV trained and operational in targeted CSIs,Numbers,,,54,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings for community and religious leaders,Percentage of community and religious leaders trained whose knowledge in prevention and response to GBV has increased of at least 50%,Percentage,,,80,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings for mayors and customary judges,Percentage of mayors and customary judges trained trained whose knowledge in prevention and response to GBV has increased of at least 50%,Percentage,,,80,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings under the thematic of psycho-social support benefiting health staff,Number of health staff (disaggregated by type) trained in nutrition health centers,Agents,,,66,,67,,,100,67
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of trainings under the thematic of psycho-social support benefiting health staff,Percentage of staff whose practice have evolved following trainings,Percentage,,,80,,80,,,80,80
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision of PEP kits,Number of PEP kits pre-positioned in CSIs,Kits,,,50,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Refurbishing of sanitary spaces welcoming children/ accompanist couples in compliance with the common pyscho-social SAM support package,Number of CRENI and CRENAS that have care units in compliance with the pyscho-social SAM support package,Centers,,,5,,4,,,2,5
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Registering and profiling of migrants in reception and transit centers,Number of registered migrants in the 4 reception and transit centers,Numbers,,10000,,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the return of miners (family retracement, transport, escort)",Number of unaccompanied miners (disaggregated by gender and age) who returned to their community of origin with dignity and are in security,Numbers,,1000,,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the return of miners (family retracement, transport, escort)",Percentage of family retracement successfully finalised,Cases,,80,,,,,,,
Niger,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support voluntary returns (transport to country/community of origin),Number of migrants supported in their voluntarily return to their community of origin,Numbers,,10000,,,,,,,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluate the impact of crises/disasters on Niger’s growth and development,Proved evidence of the impacts of disasters on growth and development,Documents,1,,,,,,,,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the harmonisation and institutionalisation of the damages and losses assessment as well as the recovery needs at national and local levels,"Existence of a national and local standardised system of damages and losses, due to crises, with data disaggregated by gender and age (PDNA)",Mechanisms,1,,,,,,,,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the harmonisation and institutionalisation of the damages and losses assessment as well as the recovery needs at national and local levels,Number of CR/CSR/PGCCA members trained in data collection and recovery planning,State Officials,,60,60,,,80,60,60,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the improvement of recovery projects monitoring system,Number of partners having adopted the data collection methodology,Partners,,2,2,,,2,2,2,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support the strengthening and integration of an early warning system for disasters at all reponse levels,Number of strengthened OSV/SCAPRU,Early Warning Systems,1,6,6,,,,,12,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the reconstruction of homes,Number of households having benefited from the reconstruction of homes after floods,Households,,50,,,,60,160,120,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the recovery of livestock in areas affected by forage crises and/or floods,Number of women having restarted a small livestock breeding,Women,,,,,,,350,400,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the rehabilitation of social infrastructures,,,,,,,,,,,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the vegetable production in areas potentially irrigable and chronically scarce or subject to floods,Number of people (women and men) having restarted gardening activity following floods,People,,,,,,800,20625,25000,
Niger,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support to the construction and stocking of ponds,Number of ponds constructed and stocked,Ponds,,,,,,3,,,
Niger,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Development of a national strategic framework of post-disaster recovery,Availability of the strategic document validated and disseminated,Documents,1,,,,,,,,
Niger,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the indentification and strengthening of local recovery strategies in food crises and other disasters,Number of local strategies identified and strengthened,Strategies,,2,,,,3,2,2,
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Ensure a improved quality of the information collection, data collection, contextual and multisectoral analysis of risks and vulnerability","The number of humanitarian trends products analysis based on contextual developments , available data or assessment in the field",Analysis,2,1,5,1,1,1,1,1,1
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Ensure humanitarian advocacy by regularly publishing high quality humanitarian information,The number of products information disaggregated by OCHA and operated by the partners,Products,10,,,,,,,,
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Improve the data analysis by mapping affected areas or those facing crises, disasters or outbreaks to support a coordinated and consistent planning and humanitarian response",The number data products disaggregated by OCHA and operated by partners,Products,12,,,,,,,,
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Support clusters, thematic groups and inter-clusters to ensure their effective functioning and an active participation of NGOs ; as well as the collection and validation of data by the national party",The number of humanitarian coordination mechanisms supported by OCHA and operatinal at national level and in regions,Coordination Mechanisms,11,4,9,1,4,1,4,4,4
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure that the humanitarian action is guided the planning and the common strategic response based on priority needs,"Number of humanitarian trends products analyses based on contextual developments, available data or field assessments",Analysis,2,1,5,1,1,1,1,1,1
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the monitoring of access constraints and do the necessary advocacy to guarantee an unlimited access to humanitarian partners across the entire country,Number of humanitarian coordination mechanisms supported by OCHA and staying operation at national level and in the regions,Coordination Mechanisms,1,1,1,1,1,1,1,1,1
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support the humanitarian coordinator, the country humanitarian team and the inter-cluster in the whole planning process and humanitarian response",Number of humanitarian coordination mechanisms supported by OCHA and staying operation at national level and in the regions,Coordination Mechanisms,17,4,9,1,4,1,4,4,4
Niger,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the strengthening and implementation of the package required for emergency preparedness through contingency plans at national levels and in every region,Number of contingency plans or responses initiated or revised,Plans,2,1,2,1,1,1,1,1,1
Niger,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure that the humanitarian action is guided by strategic planning and common response based on priority needs,"Number of humanitarian trends analytical products based on contextual developments, available data or field assessments",Analysis,2,1,5,1,1,1,1,1,1
Niger,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the monitoring of access constraints and the necessary advocacy to guarantee humanitarian partners’ unlimited access throughout the country,Number of humanitarian coordination mechanisms supported by OCHA and that are still operation at national level and in the regions,Coordination Mechanisms,,1,1,,1,1,1,1,1
Niger,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the strengthening of national partners’ capacities to improve the capacity of national institutions to respond to urgent humanitarian situations,Number of humanitarian coordination mechanisms supported by OCHA and are still operational at national level and in regions,Coordination Mechanisms,1,1,2,1,1,4,1,1,1
Niger,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Organise, facilitate or support different monitoring and assessment joint missions in areas affected by crises and disaster with a humanitarian impact","Number of humanitarian trends products analyses based on the contextual developments, available data and field assessments",Analysis,2,1,5,1,1,1,1,1,1
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analyse seed systems,Number of held assessments,Analysis,5,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination of the food security cluster,Number of cluster meetings at national level,Meetings,,,,,,10,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Coordination of the food security cluster,Number of meetings of the sector at regional level,Meetings,,,6,,,,7,,7
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Data collection from sentinel sites,Number of collections made,Units,2,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Hold a national 'vulnerability to food insecurity' survey,Number of actors which capacity has been strengthened,Partners,,,,,,2,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Hold a national 'vulnerability to food insecurity' survey,Number of vulnerable areas and population sorted by degree of vulnerability,Percentage,100,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Joint analysis of the food security, nutrition, outbreaks and markets to identify areas at risk and vulnerable populations",Number of joint analysis to help identify areas at risk conducted,Analysis,12,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support to the regional scheme on the monitoring of the agricultural and food situation,Number of held support measures,Actions,14,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Creating community gardens/home gardens/hospital gardens/school gardens,Number of gardens,Units,100,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Creating community gardens/home gardens/hospital gardens/school gardens,Number of people with a garden,Households,8500,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Creation, strenghening BC, BI, BAB, MP",Number of beneficiary households,Households,91420,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Creation, strenghening BC, BI, BAB, MP",Number of infrastructures created,Units,5,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Creation, strenghening BC, BI, BAB, MP",Number of infrastructures strenghened,Units,50,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs for the main season,Fertilisers tonnage distributed for the main season,Tons,1800,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs for the main season,Number of households having benefited from an agricultural assistance for the main season,Households,338030,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs for the main season,Number of sown hectares,Hectares,503000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs for the main season,Seeds tonnage for the main season,Tons,305100,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs of irrigated crops,Number of households having benefited from an agricultural assistance for the off-season,Households,100000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs of irrigated crops,Number of sown hectares,Hectares,3000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs of irrigated crops,Tonnage of fertilisers distributed for teh off-season,Tons,,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of agricultural inputs of irrigated crops,Tonnage of irrigated crops seeds distributed,Tons,1120,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of pastoral inputs (restocking, animal feed, zootechnical treatments…)",Number of animal distributed,Units,14700,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of pastoral inputs (restocking, animal feed, zootechnical treatments…)",Number of animals treated,Units,1500000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of pastoral inputs (restocking, animal feed, zootechnical treatments…)",Number of households having benefited from an assistance in pastoral activities,Households,100150,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Protection and rehabilitation/strengthening of households’ livelihoods on food insecurity through the distribution of pastoral inputs (restocking, animal feed, zootechnical treatments…)",Tonnage of animal feeds distributed,Tons,10075,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and strengthening of households’ livelihoods on food insecurity through combined inputs/cash actions (productive social nets),Financial volume committed,Dollars,1100000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and strengthening of households’ livelihoods on food insecurity through combined inputs/cash actions (productive social nets),Quantity of inputs distributed,Tons,20,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection and strengthening of households’ livelihoods on food insecurity through combined inputs/cash actions (productive social nets),Total number of households benefiting from combined inputs/cash actions,Households,3500,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Protection of households’ livelihoods on food insecurity through the strengthening of technical capacities to improve the production (pastoral schools/farmers),Number of people applying CE's techniques,People,2000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitation/creation of the environment (RNA, soils conservation…) and of productive infrastructures (irrigation, zaï pit, stony soils…) necessary for the protection/strengthening of communities’ livelihoods on food insecurities through conditional transfers (CFW/FFW/…)",Amount of money distributed,Dollars,38462613,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitation/creation of the environment (RNA, soils conservation…) and of productive infrastructures (irrigation, zaï pit, stony soils…) necessary for the protection/strengthening of communities’ livelihoods on food insecurities through conditional transfers (CFW/FFW/…)",Number of inputs distributed,Tons,59617,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitation/creation of the environment (RNA, soils conservation…) and of productive infrastructures (irrigation, zaï pit, stony soils…) necessary for the protection/strengthening of communities’ livelihoods on food insecurities through conditional transfers (CFW/FFW/…)",Number of people having benefited from a conditional food assistance,People,785006,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitation/creation of the environment (RNA, soils conservation…) and of productive infrastructures (irrigation, zaï pit, stony soils…) necessary for the protection/strengthening of communities’ livelihoods on food insecurities through conditional transfers (CFW/FFW/…)",Number of people who benefited from an assistance in form of an unconditional cash transfer,People,2969006,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strenghtening of populations’ food insecurity capacities on malnutrition prevention, hygiene/sanitation, emergency preparedness, IEC topics",Number of people applying prevention techniques,People,11450,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional food distribution,Number of months (duration of the distribution),Months,10,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional food distribution,Number of targeted people who receive direct food aid,People,818000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional food distribution,Number of tons distributed,Tons,60859,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional monetary transfers,Number of households having benefitted from an assistance in form of an unconditional cash transfer,Households,818000,,,,,,,,
Niger,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional monetary transfers,Volume of fundings committed,Dollars,1100000,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of agricultural inputs for irrigated crops,Number of households having benefited from an emergency agricultural assistance for irrigated crops,Households,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of agricultural inputs for irrigated crops,Tonnage of seeds for irrigated crops,Tons,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of agricultural inputs for the humid rainfall season,Number of households having benefited from an emergency agricultural assistance for the humidseason,Households,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of agricultural inputs for the humid rainfall season,Tonnage of seeds for the main season,Tons,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Number of animals de-stocked,Units,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Number of animals distributed,Units,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Number of animals treated,Units,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Number of households benefiting from de-stocking activities,Households,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Number of households having benefited from emergency pastoral activities,Households,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Emergency pastoral activities (de-stocking, re-stocking, cattle food and zoo-technical treatment)",Tonnage of cattle food distributed,Tons,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Food assistance for assets,Number of people receiving assistance,People,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Food assistance for assets,Quantity of food distributed,Tons,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Food assistance for assets,Total amount of cash transfered,Dollars,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Free-of-charge food assistance (in-kind and monetary transfer),Amount of cash transfered,Dollars,32723220,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Free-of-charge food assistance (in-kind and monetary transfer),Number of people receiving food assistance in monetary form,People,818081,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Free-of-charge food assistance (in-kind and monetary transfer),Number of people receiving food assistance in monetary form,People,,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Free-of-charge food assistance (in-kind and monetary transfer),Number of people receiving in-kind food assistance,People,818081,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Free-of-charge food assistance (in-kind and monetary transfer),Quantity of food distributed,Tons,60865,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Nutritional education,Number of people trained,People,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Unconditional monetary transfer,Amount of money distributed,Dollars,0,,,,,,,,
Niger,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Unconditional monetary transfer,Number of households who have benefited from an assistance in for of an unconditional cash transfer,Households,,,,,,,,,
Niger,Logistics,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Maintain humanitarian flight and cargo services provided to passengers.,Number of passengers transported per legs and per month.,People,10200,,,,,,,,
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Number of flying hours used,Percentage,100,,,,,,,,
Niger,Logistics,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain the humanitarian air transportation services for passengers and cargo,Number of medical evacuations,Percentage,100,,,,,,,,
