Country,Cluster,Objective,Activity,Indicator,Unit,Mali_Target,Bamako_Target,Gao_Target,Kayes_Target,Kidal_Target,Koulikoro_Target,Mopti_Target,Segou_Target,Sikasso_Target,Tombouctou_Target
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of advocacy actions to ensure the respect of rights of affected people and the protection of the most vulnerable,,,,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Non-technical surveys and clearance of contaminated areas,Number of clearance tasts conducted,Numbers,50,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Non-technical surveys and clearance of contaminated areas,Number of villages surveyed,Villages,250,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide a holistic and appropriate response to the most vulnerable people or people victims of violation and abuse (including GBV, ESNA, EGA etc.)",Number of children with specific needs of protection receiving an appropriate care,People,4000,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide a holistic and appropriate response to the most vulnerable people or people victims of violation and abuse (including GBV, ESNA, EGA etc.)",Number of GBV survivors with an access to care services (disaggregated by gender/age and type of services),People,4000,,,,,,,,,
Mali,Protection,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the response coordination,Number of existing and functional national and regional coordination mechanisms,Mechanisms,6,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Etude + cartographie de risques urbains à Bamako.,Nombre d'études et cartographies finalisés,Maps,,1,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Etudes sur les opportunités d’emplois/relance économique dans les régions du Nord y inclus les enquêtes dans les camps de réfugiés sur la réinsertion économique dans les zones retour,Nombre d’études/enquêtes,Surveys,1,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Formation du staff de l'administration publique (préfets sous préfetssous-préfets les conseillers) selon les besoins prioritaires (utilisation informatique, gestion et partage de l'information avec l'administration centrale, les partenaires et les populations)",nombre de staff formés,Staff,420,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Formation du staff de l'administration publique (préfets sous préfetssous-préfets les conseillers) selon les besoins prioritaires (utilisation informatique, gestion et partage de l'information avec l'administration centrale, les partenaires et les populations)",Number of public administration personnel trained,Staff,0,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Risks map/vulnerabilities and early flood warning systems,Number of SAPs maps,Maps,,5,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Early re-integration with markets and value chains for crisis affected communities that are vulnerable to market shocks through the promotion of producers groups, cooperatives, link with the private sector etc.",Number of cooperatives set-up with a recording mechanism,Cooperatives,110,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Early re-integration with markets and value chains for crisis affected communities that are vulnerable to market shocks through the promotion of producers groups, cooperatives, link with the private sector etc.",Number of cooperatives trained to be resilient to withstand commodity market shocks,Cooperatives,80,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Emergency employment (HILO High intensity of labour forces) with savings for young people for the rehabilitation of public and productive infrastructures at community level,Number of young people employed through the saving mechanism,Children,6000,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Mise en place de mécanismes épargne/crédits collectifs afin d’augmenter l'échelle des activités économique communautaires,Nombre des ménages beneficiant de mécanismes d’épargne/crédits collectifs mis en place,Households,20000,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide a material and financial support for economic activities in early recovery (AGR, credit, equipment, small businesses start-up kits, women's entrepreneurship development, training), number of households receiving financial and in-kind support",Number of households receiving material and financial assistance,Households,20000,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Re-equipment of public buildings (tables, chairs, computers, solar equipment, generator, logistics etc.)",Number of public building furnished with basic equipment,Buildings,,,20,,5,,10,,,15
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Réhabilitation et accompagnement de structures de formation professionnelles (réhabilitation de bâtiments, équipement, formation de formateur en métiers)",Nombre de centres fonctionnels,Establishments,,,1,,1,,,,,1
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Rehabilitation of public infrastructures (offices) to facilitate the return of the public administration,Number of infrastructures rehabilitated,Buildings,,,20,,5,,10,,,15
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Setting-up of technical team on transitional justice, information and listings of damages caused to the victims of the 2012 crisis for treatment and transmission to the Justice, Truth, Dialogue and Reconciliation Commission",Number of cases referred to the Commission,People,300,,100,,50,,50,,,100
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Setting-up of technical team on transitional justice, information and listings of damages caused to the victims of the 2012 crisis for treatment and transmission to the Justice, Truth, Dialogue and Reconciliation Commission",Number of teams set-up,Teams,19,,5,,4,,5,,,5
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Social reintegration activities of returnees in communities through social cohesion actions (sport, competition, cultural activities, fairs, rehabilitation of community spaces e.g. sporting, football, volleyball infrastructures…)",Number of social cohesion activities,Activities,400,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Social reintegration activities of returnees in communities through social cohesion actions (sport, competition, cultural activities, fairs, rehabilitation of community spaces e.g. sporting, football, volleyball infrastructures…)",Number social cohesion activities carried out,Activities,0,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening of traditional leaders’ capacities and local authorities on the prevention and the mediation of crises and conflicts,Number of traditional and local leaders trained,Leaders,250,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support to microfinance institutions for the improvement and scale-up of the micro finance and business development services,Number of MFIs supported,Structures,40,,,,,,,,,
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training of community mediators,Number of young community mediators trained,Children,1000,100,300,,100,,200,,,300
Mali,Early Recovery,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training of facilitators of community radios and networks of traditional communicators,Number of radio facilitators trained,People,35,,,,,,,,,
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Appui financier (subvention) et en nature (kits de démarrage) pour la reprise immédiate des activités économiques pour les micro et petites entreprises, y compris la formation professionnelle à court terme lorsque cela est possible",Nombre de ménages recevant finacial et en natureun appui financier et en nature,Households,1400,,500,,100,,300,,,500
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Establish group savings to increase the levels of community economic activities,Number of group lending implemented,Numbers,180,20,50,,10,,50,,,50
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,'Infant and Young Child Feeding' awareness,Number of people (women) benefiting from the ANJE awareness activities 'Infant and Young Child Feeding',People,820,100,300,,70,,100,,,250
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Integration and economic re-integration of returnees in return areas, host communities or resettlement areas",Number of returnees receiving an economic support,Returnees,15000,,6000,,3000,,1000,,,5000
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promotion of handicrafts (technical and financial support to local artisans),Number of artisans who have received support,Artisans,2000,,,,,,,,,
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Returnees’ social reintegration activities with communities on the ground through community projects (sporting competitions, cultural activities, fairs, support to community works – e.g. ‘sporting space renovation’)",Number of people benefiting from social cohesion activities,People,30000,,,,,,,,,
Mali,Early Recovery,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Socio-economic reintegration and intergration of IDPs and returnees in return & hosting areas within host communities as well as settlement areas.,Number of returnees having received an economic reintegration support,People,30000,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct a multisectoral analysis of risks, vulnerabilities and opportunities to identify needs/gaps (disaggregated analysis by gender and age)",Prioritisation tool (PT) regularly updated (e.g. every semester),Prioritisation Tools,2,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct/facilitate coordinated multisectoral assessments with key actors,Number of coordinated multisectoral assessments with the participation of the government,Evaluations,4,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Create and regularly update a reference database (baseline) at country /regional levels with harmonised information to facilitate the analysis, improvement of the planning and monitoring",Regularly update reference databases that are being shared with key stakeholders,Databases,1,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop and update the Strategic Reponse Plan (SRP) based on the overview of humanitarian needs (HNO),Number of HNO and SRP developed and updated,HNO/SRP,2,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop and update the Strategic Reponse Plan (SRP) based on the overview of humanitarian needs (HNO),Number of sectoral groups that contribute to the implementation of a joint strategy,Clusters,2,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Mapping of prone-outbreaks areas,Number of risk maps produced and shared,Maps,3,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Monitor access issues and produced advocacy documents, if necessary, to ensure humanitarian assistance can be delivered",‘Access Framework’ tool implemented and regularly updated,Access Frameworks,1,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghen national actors’ capacity (authorities and civil society) in their preparation and emergency reponses,Number of national capacity assessments conducted,Evaluations,1,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghen national actors’ capacity (authorities and civil society) in their preparation and emergency reponses,Number of training sessions for local actors (national authorities and civil society),Trainings,2,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implement resilience markers in the strategic response plan and consolidated appeal,Number of projects that include resilience activities,Projects,0,,,,,,,,,
Mali,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Incorporate mitigation activities in contingency planning,Number of contingency plans incorporating mitigation activities,Contingency Plans,1,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conduct medical and security evacuations for humanitarian personnel,Response to medical and security evacuations duly requested,Percentage,100,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Develop and improve the implementation of reporting tools (results and constraints),Number of sectors/clusters reporting regularly (every monthy),Clusters,0,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Mobilise resources for humanitarian actors through the SRP,Percentage of SRP funding,Percentage,65,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise briefings with donors,Number of briefings with donors organised,Briefings,6,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Prepare key messages to support advocacy and resource mobilisation,"Number Key messages prepared, regularly updated and disseminated",Messages,12,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Regularly produce information products (3W, humanitarian overview, bulletin, sitrep etc.) for a better understanding of the humanitarian situation, identification of gaps and to highlight responses (addressed and to be addressed)","Number of information products developed (dashboards, sitreps, bulletins, 3W etc.)",Products,52,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support and strengthen, at national level, the implementation of the minimum preparedness package with relevant actors (contingency plans, simulation exercises, MIRA training etc.)",Number of actions from the minimum preparedness package completed,Packages,1,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the strategic coordination through the HCT,Number of HCT meetings/every quarter,Meetings,6,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the strategic coordination through the inter-sectoral working group, sectorial groups/clusters by ensuing the participation of INGOs, NGONs and the government",Number of functional coordination mechanisms at decentralized level,Mechanisms,5,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Transport light support cargo and baggage,Tonnage of light cargo transported monthly against planned,Tons,4,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Transport of humanitarian actors,Number of agencies using the service,Organizations,120,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Transport of humanitarian actors,Number of locations (destinations) served,Locations,8,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Transport of humanitarian actors,Number of passengers transported monthly,People,1500,,,,,,,,,
Mali,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Transport of humanitarian actors,Percentage of passenger bookings served,Percentage,95,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Knowledge management and capitalisation of good practices,Number of joint workshops on nutrition and security held,Numbers,1,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Knowledge management and capitalisation of good practices,"Number of reports on the capitalisation of good practices, knwledge management and standard techniques",Numbers,4,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the analysis of the food security and nutritional situation,Number of advocacy actions held by the cluster and the members,Numbers,2,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the analysis of the food security and nutritional situation,Number of surveys and assessments from vulnerability to food security held and disseminated,Numbers,2,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the analysis of the food security and nutritional situation,Number of workshops of the supported Cadre Harmonisé,Numbers,2,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination in favour of multisectoriality,Number of inter-sectoral coordination meetings,Numbers,12,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination in favour of multisectoriality,Number of technical inter-sectoral meetings,Numbers,4,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination of the food security sector at national and regional levels,Number of meetings of the cluster at national level,Numbers,12,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination of the food security sector at national and regional levels,Number of meetings of the cluster at regional level,Numbers,12,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination of the food security sector at national and regional levels,Number of support missions at regional clusters,Numbers,2,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strenghening the coordination of the food security sector at national and regional levels,Performance level of the SA cluster,Rates,80,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conditional monetary transfer intended for livelihoods recovery and productive & community rebuilding of infrastructures,Number of micro rehabilitation/productive and community infrastructures rebuilding projects,Projects,360,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conditional monetary transfer intended for livelihoods recovery and productive & community rebuilding of infrastructures,"Number of targeted people having received conditional transfers (cash, coupons)",People,250000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Conditional monetary transfer intended for livelihoods recovery and productive & community rebuilding of infrastructures,Number of targeted people having received conditional transfers (food-based),People,190000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Institutional support to technical services/regional directorates (training, provision of kits…)",Number of partnership agreements signed at regional and local levels,Documents,23,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Institutional support to technical services/regional directorates (training, provision of kits…)",Number of technical agents from State-services supported,Agents,150,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Pre-positioning of emergency food stocks at local, national and regional level",Volume of pre-positioned food stocks,Tons,0,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote of collective cereals banks/seeds banks/warrantage/livestock food and cereals purchase anticipated,Number of micro-projects in the collective stocking action,Projects,100,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote of collective cereals banks/seeds banks/warrantage/livestock food and cereals purchase anticipated,Number of people participating in cereals banks/seeds banks/warrantage/livestock banks,People,55000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening of the technical and organisational capacities of the beneficiaries and communities,Number of civil society organisations supported,Numbers,120,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening of the technical and organisational capacities of the beneficiaries and communities,Number of people trained on preparedness to shocks,People,7000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthening of the technical and organisational capacities of the beneficiaries and communities,Number of people trained on the technical and organisational aspects,People,80000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support livelihoods based on agriculture during the main season,Number of people benefiting from agricultural inputs,People,200000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support livelihoods based on agriculture for the off-season, gardening and recession cropping",Number of people benefiting from agricultural inputs,People,30000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support livelihoods based on income-generating activities and the access to micro-credit,Number of people benefiting from a support in AGR on the basis of an endowment,People,15000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support livelihoods based on income-generating activities and the access to micro-credit,Number of people benefiting from a support in AGR on the basis of an endowment,People,15000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support livestock and fishery livelihoods (restocking/destocking, livestock food, zootechnical treatments, fishery inputs…)",Number of people benefiting from a support for fishery,People,90000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support livestock and fishery livelihoods (restocking/destocking, livestock food, zootechnical treatments, fishery inputs…)",Number of people benefiting from a support for livestock breeding,People,80000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional monetary transfers for the protection and recovery of livelihoods (social nets),"Number of targeted people having received unconditional transfers (cash, coupons)",People,129000,,,,,,,,,
Mali,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Unconditional monetary transfers for the protection and recovery of livelihoods (social nets),Number of targeted people having received unconditional transfers (food-based),People,4000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Direct and free in-kind and monetary transfer food assistance (general food distribution),Number of people benefiting from an in-kind food assistance,People,450000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Direct and free in-kind and monetary transfer food assistance (general food distribution),"Number of people receiving a food assistance, in monetary form",People,260000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Direct and free in-kind and monetary transfer food assistance (general food distribution),Quanity of food distributed,Tons,40500,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Direct and free in-kind and monetary transfer food assistance (general food distribution),Total amount of cash transfered,Dollars,9000000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support agricultural emergencies during the main season,"Number of people benefiting from an emergency assistance in the field of agriculture, during the main season",People,200000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support agricultural emergencies during the off-season, recession crops and market gardening",,,,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support agricultural emergencies during the off-season, recession crops and market gardening","Number of people benefiting from an emergency assistance in the field of agriculture, during the off-season",People,30000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support emergency agriculture during the off-season, recession crops and market gardening",,,,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support farming emergencies (drought, epizootics, destocking)",Number of cattle heads affected by emergency interventions,Animals,50000,,,,,,,,,
Mali,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support farming emergencies (drought, epizootics, destocking)",Number of people benefiting from an emergency assistance in the field of farming,People,80000,,,,,,,,,
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Creation of a database with harmonised key indicators for the cluster,Created databases,Databases,1,,,,,,,,,
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Maintain the database,Number of partners having maintained the database,Partners,15,,,,,,,,,
Mali,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Production and sharing of an analysis report from the database,"Number of product reports and sharing with the members of the cluster, including the State’s technical service",Reports,2,,,,,,,,,
