Country,Cluster,Objective,Activity,Indicator,Unit,Burkina Faso_Target,Boucle du Mouhoun_Target,Cascades_Target,Centre_Target,Centre Est_Target,Centre Nord_Target,Centre Ouest_Target,Centre Sud_Target,Est_Target,Hauts Bassins_Target,Nord_Target,Plateau Central_Target,Sahel_Target,Sud Ouest_Target
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess WASH equipments in health facilities,Number of health related trainings with WASH data,Health Centres,,,,,,100,100,100,100,100,100,100,100,100
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess WASH equipments in school trainings,Percentage of school trainings with WASH data,Schools,,70,,,,70,70,,70,70,70,70,70,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Capitalisation of activities/learned lessons with local authorities,Number of areas covered by a capitalisation exercice/learned lessons organised with local authorities,Areas,,,,,,,1,,1,,1,,1,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Identification and mapping of disaster-prone areas (primary floods),Number of regions with a mapping of flood-prone areas (including WASH infrastructures in these areas),Regions,,,,,,1,,,1,1,,1,1,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Monitor water resources in areas with food insecrities (IPC ≥ 3) and stress zones,Number of strategic water points benefiting from a regular monitoring of resources,Water Points,,,,,,,10,,10,,10,,20,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support local authorities in the collection and analysis of data related to water access and sanitation,Number of humanitarian organisations’ areas of action with data on available water access and sanitation,Areas,,,,,,,1,,1,,1,,1,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Contingency plan to control floods, including rapid WASH response capabilities (RH, inputs, seasonal reinforcement)","Number of agencies involved in the development of a regularly updated multi-sectoral contingency plan, including response simulation exercises",Agencies,,,,,,5,,,2,,1,,5,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Distribution of hand-washing devices and MVE prevention messages,Percentage of schools and CSPS equipped with soap hand-washing devices,Structures,80,,,,,,,,,,,,,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Integration of hygiene promotion in the field of essential family practices in the school curricula,Percentage of schools having an integrated hygiene promotion and sanitation teaching in their school curricula,Schools,,80,,,,80,80,,80,80,80,80,80,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Prevention in cholera in prone-risk areas and distribution of hygiene kits,Number of cholera cases reported Number of hygiene kits for water treatment,Numbers,0,0,0,0,0,2000,0,0,2000,2000,2000,2000,10000,0
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitation of WASH access in basic services (schools, health centers) in areas of displacement",Percentage of schools and health centers with functional WASH services in areas of displacement,Structures,,,,,,,,,70,,70,,70,
Burkina Faso,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support to DREAHA Sahel for the sectoral WASH coordination,Number of monthly coordination meetings,Trainers,,,,,,,,,,,,,1,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Create hygiene promotion activities targeting women and men,Number of women and men whose knowledge in hygiene and water-related illnesses has improved,People,,,,,,,,,318462,,,,12000,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Functional WASH package in recovery sites or host communities/villages (drinking water, secure hygienic defecation, culturally appropriate with a gender separation, and key inputs with a hygiene promotion)","Number of women and men with a functional minimum WASH package (drinking water, secure hygienic defecation, culturally appropriate with a gender separation, and key inputs with a hygiene promotion)",People,,,,,,,,,318462,,,,120000,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implementation of a minimum WASH package (water points, latrines, awareness) in schools with a school feeding programme","Percentage of schools with a feeding programme and that provide, in a fair manner, a minimum WASH package (girls and boys)",Schools,,,,,,,10,,70,,70,70,70,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Implementation of a WASH in Nutrition package within malnourished couples/mother-children (nutrition centers/communities): Distribution of WASH in Nutrition kits,"Number of children, admitted for a SAM treatment, using hygiene kits provided to parents and accompanists and containing key messages and promoting a behavioural change in hygiene",Children,,,,,,10000,9000,,40000,,40000,10000,40000,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the WASH to CTC and MVE treatment centers (provision of chlorine water for drinks, surface cleaning, water stocking, separate latrines, management of certain waste, promoting hand-washing)",Percentage of CTCs and CTEs supported,Structures,100,,,,,,,,,,,,,
Burkina Faso,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Train women and men in the field of construction, operationalisation and maintenance of all type of water and sewage installations; amongst which wells, pumps, water reservoirs, distribution systems and toilets","Number of women satisfied with the access to services, water and sewage installations carried-out",Women,,,,,,,,,156000,,,,58000,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Advocacy for the inclusion of refugees in Burkina Faso's national legal frameworks,Number of advocacy developped,Advocacy,2,,,,,,,,,,,,,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analysis of livelihood support needs,Labour market and market surveys conducted,Studies,,,,,,,,,,,,,4,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analysis of livelihood support needs,Socio-economic profiles and livelihood capacities monitored,Numbers,,,,,,,,,,,,,2,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct a nutritional survey of refugees in camps,Number of carried-out surveys,Surveys,,,,,,,,,,,,,1,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Ensure joint assessments of plans and strategies,Joint assessment mission contacted (JAM)UNHCR/WFP,Numbers,,,,,,,,,,,,,1,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Ensure joint assessments, plans and strategies",Memorandum of agreement between the UNHCR & the WFP signed,Numbers,,,,,,,,,,,,,1,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Maintain and improve the quality of individual registration and profiling,Percentage of registered refugees,Percentage,,,,100,,,,,,100,,,100,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support and strengthen at national level the implementation of the minimum preparation package with stakeholders (contingency plans),Number of contingency plans updated,Contingency Plans,1,,,,,,,,,,,,,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure the protection of refugees in Burkina Faso through the following actions: registration, provision of identity papers to adult refugees, legal assistance, protection of civilian and humanitarian characters of camps etc.",Number of refugees having access to protection interventions services,People,,,,900,,,,,,1100,,,28000,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the reduction of risks of violence based on gender and improvement of the response quality,Number of community committees working on the prevention and the response to GBV,Commitees,,,,2,,,,,,2,,,9,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the reduction of risks of violence based on gender and improvement of the response quality,Number of GBV survivors receiving a support and counselling,People,,,,10,,,,,,40,,,250,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote peaceful co-existence between refugees and host communities,Number of people whom community awareness campaigns have reached,People,,,,10000,,,,,,20000,,,60000,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote peaceful co-existence between refugees and host communities,Number of projects implemented benefiting refugees and host populations,Projects,,,,,,,,,,,,,6,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide an assistance to refugees in the areas of health, education, nutrition, shelters, foods, livelihoods, environment etc.",Number of refugees benefiting from a multi-sectoral assistance (especially refugees living in camps),People,,,,,,,,,,1100,,,19703,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthen the ""supplementary feeding"" programme in refugee camps","Number of children benefiting from the ""supplementary feeding"" programme",Children,,,,,,,,,,,,,500,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the empowerment of women in the community,Number of women participating in governing and management structures,Women,,,,,,,,,,,,,300,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the livelihoods and the community resilience,"Number of young people and women, amongst host populations and refugees, benefiting from the AGR with proven competencies",People,,,,350,,,,,750,,,,2500,
Burkina Faso,Multi Sector for Refugees,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Vaccinate animals from farmers’ herds and making of animal feedings available (refugees and host populations),Number of animals vaccinated and receiving animal feeds,Animals,,,,,,,,,,,,,20000,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Bulding transitional shelters and maintainance of emergency shelters,Number of families receiving housing assistance,Households,,,,,,,,,,,,,6000,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Continue access to healthcare activities benefiting refugees and surrounding host population,Number of health facilities equipped and rehabilitated,Health Centres,,,,,,,,,,,,,4,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribution of dignity kits to child-bearing women refugees,Number of dignity kits distributed to women,Kits,,,,,,,,,,,,,13500,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the supply of potable water to refugees living camps,"Number of water points built, developed and/or upgraded",Water Points,,,,,,,,,,,,,34,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a support to people with specific needs,Number of concerned people receiving a support,People,,,,500,,,,,,1000,,,2000,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide primary education to refugee children,Number of PoC enrolled in primary education,Children,,,,,,,,,,100,,,3400,
Burkina Faso,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide support to people with special needs,Number of PoC with special needs receiving support,People,,,,,,,,,,300,,,1700,
