Country;Cluster;Objective;Activity;Indicator;Unit;Senegal_Target;Dakar_Target;Diourbel_Target;Fatick_Target;Kaffrine_Target;Kaolack_Target;Kédougou_Target;Kolda_Target;Louga_Target;Matam_Target;Saint Louis_Target;Sédhiou_Target;Tambacounda_Target;Thiès_Target;Ziguinchor_Target
Senegal;Water Sanitation & Hygiene;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Setting-up of a WASH in Nut package in nutrition and healh centers;Number of CREN/UREN providing the minimum WASH package (drinking water with chlorine residual, disinfecting hand washing, hygiene and certain defecation;Nutritional Centers;;136;94;56;97;69;32;73;86;80;114;48;97;164;101
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Participatory assessments (AGDM);Number of assessments conducted per region;Joints Assessments;;1;;;;;;;;1;1;;1;1;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Registration/Profiling (refugees and asylum seekers);Number of registered/updated refugees;People;;4605;;;;;;;;992;9532;;1578;378;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Delivering of refugees' identity papers;Production and delivering of refugees' identity papers;Documents;;300;;;;;;;;100;1100;;500;24;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Determining refugees statuses of asylum seekers;Number od asylum seekers treated during the course of the year;Requests;;264;;;;;;;;;;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Determining refugees statuses of asylum seekers;Training session/strengthening of the National Eligibility Commission’s capacity;Trainings;;2;;;;;;;;;;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Social assistance to vulnerable refugees and asylum seekers;Number of refugees having received a social assistance;People;;225;;;;;;;;;;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Implement income generating activies;Number of income generating activities implemented;Activities;;65;;;;;;;;;;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Provide an educational support to refugees;Number of students receiving a support for a university education, or professional training;Students;;80;;;;;;;;;14;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Provide educational support to refugees;Number of refugee children receiving an educational support (primary and secondary);Students;;444;;;;;;;;;;;;;
Senegal;Multi Sector for Refugees;STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.;Registering of refugees in a healthcare mutual;Number of beneficiaries registered in the healthcare mutual;People;;650;;;;;;;;;100;;;;
