Country,Cluster,Objective,Activity,Indicator,Unit,Mauritania_Target,Adrar_Target,Assaba_Target,Brakna_Target,Dakhlet Nouadhibou_Target,Gorgol_Target,Guidimakha_Target,Hodh Ech Chargi_Target,Hodh El Gharbi_Target,Inchiri_Target,Nouakchott_Target,Tagant_Target,Tiris Zemmour_Target,Trarza_Target
Mauritania,Coordination and Support Services,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support and strengthen, at national level, the implementation of the minimum preparedness package with other relevant stakeholders (contingency plans, simulation exercises, MIRA training etc.)",Number of people trained on MIRA,People,0,,10,10,10,10,10,10,10,,30,10,,
Mauritania,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Facilitate the development of information products to support advocacy and the mobilisation of resources,Percentage of the SRP funding in the FTS,Percentage,70,,,,,,,,,,,,,
Mauritania,Coordination and Support Services,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organsation of briefings with donors (in the framework of the SRP),Number of briefings organised or conducted with donors,Briefings,2,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct follow-up surveys on household food security,Number of analysis report on food insecurity reponse conducted,Meetings,6,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct follow-up surveys on household food security,Number of investigation reports published,Reports,11,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct households economic analysis (HEA) - Outcome analysis,Number of analytical reports published,Reports,3,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint follow-up missions on the agricultural and pastoral situation, analysis of the functioning of markets and food security",Number of joint mission reports shared and published,Reports,3,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint follow-up missions on the agricultural and pastoral situation, analysis of the functioning of markets and food security",Number of organisations participating in joint missions,Organizations,39,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct vulnerability analyses on food insecurity through the Cadre Harmonisé,Number of analytical reports published,Reports,2,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct vulnerability analyses on food insecurity through the Cadre Harmonisé,Number of organisations participating in Cadre Harmonisé workshops,Organizations,12,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",strengthen the agro-pastoral early warning system,Number of agro-pastoral early warning reports shared,Reports,8,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",strengthen the agro-pastoral early warning system,Number of early inter-village warning committees created,Commitees,58,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen the early warning agro-pastoral system,Number of early warning agro-pastoral reports shared,Reports,8,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen the early warning agro-pastoral system,Number of implemented early warning inter-village commitees,Commitees,58,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Create/rehabilitate infrastructures for agricultural production for households vulnerable to food insecurity,Amount in cash transferred,Dollars,1170238,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Create/rehabilitate infrastructures for agricultural production for households vulnerable to food insecurity,Number of households supported,Households,8629,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Create/rehabilitate infrastructures for agricultural production for households vulnerable to food insecurity,"Number of works created/rehabilitated (dikes, bunds, filtering soils, water points etc.)",Facilities,154,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Distribute agricultural tools to vulnerable households,Number of agricultural households supported,Households,48551,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Improve the traditional poultry production of vulnerable households,Number of beneficiary cooperatives,Cooperatives,49,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Improve the traditional poultry production of vulnerable households,Number of chicks distributed,Chicks,26000,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Improve the traditional poultry production of vulnerable households,Number of households supported,Households,5000,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Improve the traditional poultry production of vulnerable households,Number of poultry distributed,Poultry,57000,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote an improved management of the cattle during hunger gap through destocking,Amoun (in cash) transferred to pastoral households,Dollars,480,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Promote an improved management of the cattle during hunger gap through destocking,Number of pastoral households supported,Households,400,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide an aid in fertilisers to vulnerable households,NUmber of agricultural households supported,Households,6500,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide an aid in fertilisers to vulnerable households,Quantity of fertilisers distributed,Tons,1050,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide quality seeds aid to vulnerable households,Number of agricultural households supported,Households,48551,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Provide quality seeds aid to vulnerable households,Quantity of seeds distributed,Tons,566,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Recapitalise pastoral households who lost their cattle during the hunger gap,Number of animals restocked,Animals,3560,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Recapitalise pastoral households who lost their cattle during the hunger gap,Number of pastoral households supported,Households,1872,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitate degraded fields/perimeters of vulnerable people to food insecurity through water and soils conservation techniques (half pipe, Zai holes etc.)",Amount of money transferred,Dollars,690000,,0,0,,0,,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitate degraded fields/perimeters of vulnerable people to food insecurity through water and soils conservation techniques (half pipe, Zai holes etc.)",Number of fields/perimeters rehabilitated,Numbers,1215,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Rehabilitate degraded fields/perimeters of vulnerable people to food insecurity through water and soils conservation techniques (half pipe, Zai holes etc.)",Number of households supported,Households,8917,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen small farmers' cattle health,Number of cattle heads targeted,Animals,175000,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen small farmers' cattle health,Number of pastoral households supported,Commitees,25000,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen small farmers' cattle's access to water,Number of pastoral households supported,Households,25000,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen small farmers' cattle's access to water,Number of pastoral water points created/rehabilitated,Water Points,10,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the access to cattle feedings of small farmers,Number of pastoral households supported,Households,26937,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the access to cattle feedings of small farmers,Quantity of cattle feedings distriibuted,Tons,2588,,0,0,,0,0,0,0,,,0,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the capacities of national actors in terms of analysis and response to food insecurity situations,Number of organisations benefiting from a strengthening of the capacity in terms of analysis and response to food insecurity situations,Organizations,31,,,,,,,,,,,,,
Mauritania,Food Security,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen the production capacities of small traditional fishermen (continental and maritime),Number of fishing households supported,Households,430,,0,0,,0,0,,0,,0,,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Make unconditional monetary transfers in form of cash or food coupons to targeted vulnerable households,Amount of money distributed,Dollars,7727229,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Make unconditional monetary transfers in form of cash or food coupons to targeted vulnerable households,Number of people supported,People,326135,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide an unconditional food support in form to targeted vulnerable households,Number of people supported,People,167960,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide an unconditional food support in form to targeted vulnerable households,Quantity of food distributed,Tons,4149,,0,0,,0,0,0,0,,0,0,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the sectorial and inter-sectorial coordination,Number of food security 'cluster' meetings organised,Meetings,12,,,,,,,,,,,,,
Mauritania,Food Security,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the sectorial and inter-sectorial coordination,Number of inter-sectorial meetings organised,Meetings,6,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Capitalisation/lessons learned and advocacy with local and /or national authorities on the access to safe drinking water and sanitation.,Number of capitalisation exercices/ lessons learned,Units,2,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Identification and mapping of areas, populations, practices and high-risk periods for waterborne diseases.",An integrated WASH/Health analysis in areas and populations at risk,Units,1,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Updating of data on areas and most vulnerable populations at risk of malnutrition, and joint WASH/nutrition/aggravating factors analyses related to the WASH sector (diarrhea)","Numbers of areas with a joint analysis, targeting the most-at-risk of malnutrition populations, where priority WASH actions can be carried-out",Units,8,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocacy for the creation of a multi-risk contingency plan, including the rapid WASH response capacities",A multi-sectoral contingency plan created,Units,1,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Advocacy for the setting-up of a multi risk contingency plan, including the rapid WASH reponse capacities",A muli-sectoral contingency plan is set-up,Units,1,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the setting-up of prevention and risk management committees in coordination with other others and local authorities,Number of committees set-up,Units,3,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"""Sanitation and Hygiene"" activities in relocation sites",Number of people (M/F) with an access to sanitation/hygiene as per standards,People,10000,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,'Drinking Water' activities in relocation sites,Number of people (M/F) with an access to safe drinking water as per standards,People,10000,,,,,,,,,,,,,
Mauritania,Water Sanitation & Hygiene,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Evaluation of real-time response (RTR),Number of RTR evaluations,Evaluations,4,,,,,,,,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Analyse needs to support livelihoods,"Number of ""Household Economic Analysis"" studies conducted",Numbers,,,,,,,,1,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Build and maintain shelters,Number of refugees with adequate housing,Numbers,,,,,,,,52500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugee children enrolled in primary education in the camp,Children,,,,,,,,7650,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugee children enrolled in primary school and Child-Friendly Spaces receiving a meal,Numbers,,,,,,,,7500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugee children with access to potable water and benefiting from sanitation programmes and sensitization,Numbers,,,,,,,,29719,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugee children with access to recreational activities in Child-Friendly Spaces,Numbers,,,,,,,,1817,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugees enrolled in secondary education in the camp,People,,,,,,,,500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugees with access to sanitation facilities in the camp,Numbers,,,,,,,,52500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure an access to basic services,Number of refugees with access to sufficient potable water in the camp,People,,,,,,,,52500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure joint evaluations, plannings and strategies",Number of joint mission assessments conducted,Numbers,,,,,,,,1,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the decrease of gender-based violence risks and improve the quality of the response,Number of community committees/groups working on prevention and response to gender-based violences,Numbers,,,,,,,,11,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Facilitate energy access,Number of household provided with energy saving equipment,Numbers,,,,,,,,1700,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Implementation of the reception, registration and installation systems for refugees (sites, camps and host areas)","Number of reception structures created, improved or maintained in the camp",Numbers,,,,,,,,1,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve food security,Percentage of refugees assisted through general food distribution compared to the plan,Percentage,,,,,,,,1,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve nuritional well-being of refugees,"Number of functional prevention, promotion and nutritional care programmes in the camp",Numbers,,,,,,,,9,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Improve nuritional well-being of refugees,Percentage of 6-59 month-old children with global acute malnutrition (GAM),Percentage,,,,,,,,8,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Keep the civilian nature of asylum by monitoring frontiers and through free passage,"Number of events (workshops, meetings) organised",Numbers,,,,,,,,2,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Maintain and improve camp management,"Partners’ roles and responsibilities have been defined and documented, and a coordination mechanism is established and functional",Yes/No,,,,,,,,100,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Preparing the return and the reintegration,Number of concerned people receiving information before their return,Numbers,,,,,,,,2500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promote pacific coexistence with local communities,Number of projets implemented and benefiting local and displaced communities,Projects,,,,,,,,23,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promote peaceful coexistence with local communities,Number of individuals (refugees and host population) reached through community-based campaigns promoting peaceful coexistence,Numbers,,,,,,,,72500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promote peaceful coexistence with local communities,Number of individuals assisted through projects implemented in the host community,People,,,,,,,,20000,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promotion of better hygiene and sanitation practices,Number of refugees reached through community-based campaigns on sanitation and hygiene,Numbers,,,,,,,,52500,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a support to livelihoods,Number of new projects in support to income-generating activities implemented,Numbers,,,,,,,,80,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a support to livelihoods,Percentage of the refugee population with an access to arable lands for cultivation,Percentage,,,,,,,,4,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a support to refugees with special needs,Number of refugees with special needs and receiving a support in the camp,Numbers,,,,,,,,5738,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide adequate household goods,Number of refugee families receiving non food items,Numbers,,,,,,,,15051,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide adequate household goods,Number of refugee women receiving sanitary equipment,Numbers,,,,,,,,13817,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Reduce the impact on the environment of refugees’ presence,Programmes are implemented to reduce the impact of refugees’ presence on the environment,Yes/No,,,,,,,,100,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Set-up a contingency plan and define agencies’ roles and responsibilities,A contingency plan has been developed and is functional,Yes/No,,,,,,,,100,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen children protection,Number of children protection committees/groups functional in the camp,Numbers,,,,,,,,5,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen children protection,"Number of children victims of violence, abuse, exploitation and negligence identified and assisted in the camp",Numbers,,,,,,,,1400,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the access to civil status documents,Number of children without birth certificates identified and receiving a support to obtain documents,Numbers,,,,,,,,1200,,,,,,
Mauritania,Multi Sector for Refugees,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the community mobilisation,Number of community groups supported in the camp,Numbers,,,,,,,,6,,,,,,
