Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
DHL,,,Corporation,International,Logistics,,,,,DHL has dispatched its logistics team to Kathmandu airport where it provides additional capacity for humanitarian logistics.,,http://www.dhl.com/,https://www.facebook.com/dhl,https://twitter.com/DeutschePostDHL,,
Dhulikhel Hospital,,,NGO - Local,Nepal,Health,,,,,"Dhulikhel Hospital is the Kathmandu University Hospital. It was damaged by the earthquake yet remains operational, having treated 1440 patients in response as of May 3rd.",,http://www.dhulikhelhospital.org/,,,,http://nepal.sahana.io/
Digital Humanitarian Network,,DH,NGO - International,Virtual,Assessments,,,,,"Leveraging digital networks for humanitarian response. DH members Standby Task Force, Humanity Road, Humanitarian OpenStreetMap Team and Translators without Borders have been activated for the Nepal earthquake response.",,http://digitalhumanitarians.com/,NA,https://twitter.com/Digihums,,
Direct Relief,,,NGO - International,USA,Assessments,Health,,,,"Direct Relief is sending its DART Assessment team and $5M aid and offers $100 million in medical inventory.

As of April 26, Direct Relief is coordinating with local partners to provide medical assistance. (Source: http://www.newshour.com.bd/2015/04/26/how-to-help-nepal-7-vetted-charities-doing-relief-work-following-the-earthquake/)

Working with medical companies to secure additional supplies as needed (Source: http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html)","Disasster assessment and response team, medical inventory support",http://www.directrelief.org/2015/04/nepal-earthquake-emergency-update/,NA,"https://twitter.com/directrelief/
https://twitter.com/GordonWillcock",https://secure2.convio.net/dri/site/Donation2?df_id=2105&2105.donation=form1&set.SingleDesignee=1581&_ga=1.98664094.1471225155.1430002813,"http://www.directrelief.org/2015/04/nepal-earthquake-direct-relief-offers-100-million-medical-inventory-commits-50-thousand-cash-emergency-response/

http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html"
Disaster Emergency Committee,,DEC,NGO - International,United Kingdom,Funding,,,,,DEC has launched a Nepal Earthquake Appeal. As of April 29 they have raised £19 milion,,http://www.dec.org.uk/,https://www.facebook.com/DisastersEmergencyCommittee,https://twitter.com/decappeal,https://mydonatetelethonsappeals.bt.com/donate/nepal/?__utma=101452446.1718509953.1430593384.1430593384.1430593384.1&__utmb=101452446.2.9.1430593429985&__utmc=101452446&__utmx=-&__utmz=101452446.1430593384.1.1.utmcsr=google|utmccn=%28organic%29|utmcmd=organic|utmctr=%28not%20provided%29&__utmv=-&__utmk=3682992,http://www.dec.org.uk/blog/comparing-nepal-appeal
Disaster Waste Recovery,,DWR,NGO - International,UK,Health,Early Recovery,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.disasterwaste.org,,,,
Doctors Worldwide,,,NGO - International,UK,Health,,,,,"Doctors Worldwide (DWW): DWW Turkey dispatched a three-man medical team that has arrived. Following an initial assessment an emergency treatment center was established between Kathmandu and Pokhara. (DWW)

Our sister organisation, DWW Turkey promptly dispatched a 3 man medical team which arrived within 24hrs. Following an initial assessment an emergency treatment centre was established between Kathmandu and Pokhara. Initial fundraising is being earmarked to provide urgently needed medical supplies. (http://www.doctorsworldwide.org/news/nepal-earthquake/)",,http://www.doctorsworldwide.org/,https://www.facebook.com/doctorsworldwide,https://twitter.com/DoctorsWW,http://www.doctorsworldwide.org/donate/,http://www.doctorsworldwide.org/news/nepal-earthquake/
Doctors Worldwide Turkey,,DWWT,NGO - International,Turkey,Health,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.yeryuzudoktorlari.org,,,,
dZi Foundation,,,NGO - International,USA,Funding,Education,Shelter & NFI,,,"dZi is collecting funds to help Nepal’s most remote communities recover from the devastating earthquake. Their partner communities have been hit extremely hard and will need your help to rebuild schools, homes, and local infrastructure. dZi has been triaging Everest victims who have been arriving via helicopter from Pheriche, a town about seven miles downhill from Everest Base Camp that has acted as a staging area for the critically injured and walking wounded.

PHOTO 5/1: Our Solukhumbu Program Coordinator Jitna's temporary shelter in his home  village of Lokhim after the quake. His house is among the many damaged by the earthquake. His family will be living outside in shelter until they repair their house. Also see the cracks made in the walls of his home on the bottom right corner of the photo. (https://www.facebook.com/thedzifoundation/photos/a.422388919119.214589.22419044119/10153266103599120/?type=1&theater)",,https://dzi.org/,https://www.facebook.com/thedzifoundation,https://twitter.com/dzifoundation,https://dzi.org/donate/#join,http://www.ouraynews.com/articles/2015/04/30/town-ridgway-dzi-reacts-nepal-earthquake
Earthquake Action Nepal,,,NGO - International,UK,Assessments,,,,,SEE Sahana Software Foundation,,,https://www.facebook.com/earthquakeactionnepal2015,,,http://nepal.sahana.io/
Edgeryders,,EDGE,NGO - International,?,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,https://edgeryders.eu/en,https://www.facebook.com/Edgeryders?pnref=story,https://twitter.com/matjahu,,
Educate the Children Nepal,,,NGO - Local,Nepal,Early Recovery,Protection,,,,"Direct relief to rural families.Works in Rasuwa, Nuwakot and Dolakha districts",,http://www.etc-nepal.org/earthquake_relief.php,https://www.facebook.com/pages/Educate-the-Children-International/156851854035,https://twitter.com/GrowNepal,,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
emBOLDen Alliances,,EA,NGO - International,USA,Health,Shelter & NFI,Early Recovery,Assessments,,"EmBOLDen Alliances is partnering with IMAT/ ClarionGlobalResponse for the Nepal response. Two team members are in Nepal for immediate medical relief. Activites have included health checkup at Maiti Nepal, shelter for 500 women and girls. May 2 coordinated multi-sectoral assessment to Dolakha with the organization Maiti Nepal providing food, shelter, medical care, and public health assessment for diarrheal diseases. May 4 an asssessment mission to Sertung.They also support the delivery of tarps, water filters and battery packs.EmBOLDen Alliances is partnering with Seeds of Exchange to support rebuilding efforts through local community-based organizations dedicated to women’s education and empowerment, youth development, and community sustainability.",,http://www.emboldenalliances.org,https://www.facebook.com/emboldenalliances,https://twitter.com/emBOLDAlliances,,"http://www.emboldenalliances.org/our-nepal-response/
http://www.emboldenalliances.org/nepal-response-situation-report-1-2/"
Emergency.lu,,,NGO - International,Luxembourg,Telecom,,,,,ETC Vsat communication,,http://www.emergency.lu/,https://www.facebook.com/emergency.lu,https://twitter.com/emergency_lu,,
Emmanuel Hospital Association,,EHA,NGO - International,?,Health,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,https://www.facebook.com/peniel.malakar,,,
Empower Generation,,,NGO - International,?,Telecom,Early Recovery,,,,"They already operate in Nepal, encouraging clean energy sources. Have donated solar lamps from inventory in Kathmandu to help relief workers at hospitals and people in shelters. Set up a mobile charging station at their office in Lazimpat. Have solar lights available for immediate distribution and are working with suppliers on more mobile charger orders to support the international relief effort. ",,http://www.empowergeneration.org/,https://www.facebook.com/Empower.Generation,https://twitter.com/EmpowerGrid,https://www.crowdrise.com/lightnepal,
Empower Nepali Girls,,,NGO - International,USA,Funding,,,,,We have set up a special fund to assist those who have lost their homes or require medical care that they can't afford. There is too much chaos right now to determine who is in greatest need but we will be supporting the impacted ENG families and people.,,http://www.empowernepaligirls.org/,https://www.facebook.com/empowernepaligirlsfoundation,https://twitter.com/empowernepgirls,http://www.empowernepaligirls.org/donatenow/,http://www.empowernepaligirls.org/
Episcopal Relief & Development,,,NGO - International,?,Food Security,WASH,Shelter & NFI,,,"We will help meet urgent needs such as food, clean water and shelter, as well as support for assessment and search and rescue teams in the initial phase of the disaster, through the ACT Alliance in Nepal and with our own partners in surrounding areas including northern India and southwest China. Following the initial relief phase, this fund will continue to support longer-term recovery efforts with local partners.",,https://www.episcopalrelief.org/what-you-can-do/donate-now/individual-donation,https://www.facebook.com/EpiscopalRelief,https://twitter.com/EpiscopalRelief,https://www.episcopalrelief.org/NepalRelief,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Ericsson,,,Corporation,Sweden,Telecom,,,,,Response with team and equipment,,http://www.ericsson.com/,https://www.facebook.com/ericsson,https://twitter.com/ericsson,,http://humanityroad.org/wp-content/uploads/2015/04/HumanityRoadNepalSitrep6Apr30summary.pdf
Ericsson,,,Corporation,?,Telecom,,,,,Telecom Equipment,,,,https://twitter.com/ericsson,,HumanityRoad SitRep
European Commission,,EC,Government,European Commission,Assessments,Funding,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
European Union,,EU,Government,European Union,Funding,Search & Rescue,,,,"The European Union assistance is being channeled through the European Commission's Humanitarian Aid and Civil Protection Department (ECHO) in close coordination and cooperation with the United Nations Office for the Coordination of Humanitarian Affairs.  And, with partner organizations who work on the ground. See ECHO above.

All 28 EU Member States participate in the EU Civil Protection Mechanism, as well as Iceland, Norway, the former Yugoslav Republic of Macedonia, and Montenegro.",See ECHO,http://europa.eu/,"https://www.facebook.com/EuropeanCommission?rf=109433642416056
https://www.facebook.com/eucouncil","https://twitter.com/EUCouncil
https://twitter.com/EU_Commission",,"https://news.yahoo.com/nepal-earthquake-live-report-011920453.html
http://ec.europa.eu/echo/files/aid/countries/factsheets/nepal_earthquake_en.pdf
http://ec.europa.eu/commission/2014-2019/stylianides/announcements/statement-commissioner-christos-stylianides-about-situation-nepal-after-earthquake-press-room_en
http://ec.europa.eu/echo/files/aid/countries/factsheets/thematic/civil_protection_en.pdf"
European Union Humanitarian Aid and Civil Protection,European Commission's Humanitarian Aid and Civil Protection Department (ECHO),ECHO,Government,European Union,WASH,Food Security,Shelter & NFI,Telecom,Funding,"May 1 - So far, 16 Member States have provided support to Nepal with EU coordination, via the EU Civil Protection Mechanism (EU CPM). Assistance includes search and rescue teams, technical equipment such as water purification systems and ICT support as well as other technical assistance. An EU Civil Protection team, including experts in structural engineering, is operating on the ground. The Commission is co-financing transport costs of EU aid to Nepal.
 
The European Commission's Emergency Response Coordination Centre (ERCC) monitors developments and coordinates support 24/7. The Copernicus Emergency Management Service has been activated for the provision of satellite images/maps of the disaster area to support the ongoing operations.

The EU assistance will address the most urgent needs and focus in particular on the most vulnerable groups. The aid will be channelled via European Commission's Humanitarian Aid and Civil Protection Department (ECHO)'s humanitarian partner organisations operating on the ground. It is expected that early recovery activities and longer term rehabilitation will also be needed. Logistics are a major challenge for relief operations in the mountainous region. Airport capacity is limited.

Apr 29 - EU Commissioner for Humanitarian Aid and Crisis Management, Christos Stylianides, together with the UN Under-Secretary-General, Valerie Amos, responsible for the international coordination of the humanitarian response travelled to Nepal and visited the affected areas. Within the first 24 hours after the earthquake - Initial response - the European Commission activated the EU Civil Protection Mechanism (EU CPM) upon request from the Nepali authorities, dispatched humanitarian experts to Nepal - first response teams and assets from the Member States - and released € 3 million to help address the most urgent needs: clean water, food, medicine, emergency shelter and telecommunication. ","€ 3 million
Emergency response coordination
Copernicus Emergency Management Service activated
EU Civil Protection team, including experts in structural engineering, is operating on the ground. 
Assistance offered through the EU Civil Protection Mechanism (as of 30 April 2015)**
Belgium - Medium Urban Search and Rescue team 
Czech Republic - Advanced Medical Post 
Denmark - 1 operational coordination centre (OSOCC); 3 light base modules; 4 ICT modules 
Estonia - Medium Urban Search and Rescue team 
Finland - Medium Urban Search and Rescue team 
France - Water Purification Module 150 tents 
Germany - Water Purification Module 
Greece - Medium Urban Search and Rescue team 
Italy - Forward medical team Advanced Medical Post* 
Luxembourg*** - 3 Civil protection experts with rapid satellite kit 
Netherlands - Heavy Urban Search and Rescue team 
Norway - Medium Urban Search and Rescue team 
Poland - Heavy Urban Search and Rescue team 
Sweden - 1 Operational coordination centre (TASK); Heavy Urban Search and Rescue team 
Slovakia* - 10 tents, 14 field beds, 388 blankets, 200 sleeping bags 10 3kVa generators, 10 lighting sets, dishes, 4 water tanks (800 l) Advanced Medical Post 
Spain - Water purification modules + Jerry Cans; 4x4 family tents all weather; Tarpaulins; Kitchen Sets; Blankets; Hygienic Kits, latrines; 
United Kingdom - Urban Search and Rescue team 180 body bags Forward Medical team 4 104 shelter kits 1 724 solar lanterns*

*Acceptance pending ** Some contributions not deployed as of yet *** Provided bilaterally",http://ec.europa.eu/echo/,https://www.facebook.com/ec.humanitarian.aid,https://twitter.com/eu_echo,NA,"http://ec.europa.eu/echo/files/crises/nepal/cr_nepal_en.pdf
http://ec.europa.eu/echo/files/aid/countries/factsheets/nepal_earthquake_en.pdf
http://www.preventionweb.net/english/professional/contacts/profile.php?id=2653"
Facebook,,,Corporation,USA,Funding,,,,,Facebook is operating its Safety Check feature. As of May 1 Facebook users have donated US$10 million in funds for International Medical Corps (IMC) and Facebook is matching US$2 million in donations.,,www.facebook.com,https://www.facebook.com/facebook,https://twitter.com/facebook,https://www.facebook.com/nepalearthquakesupport,http://mashable.com/2015/04/30/facebook-donation-nepal/
FAIRMED,,,NGO - International,Switzerland,Health,,,,,"4/27: So far, the earthquake in Nepal has claimed at least 3,600 victims and 
the number of casualties will continue to rise. When the earthquake 
struck, the Head of Programme Unit of the Swiss development organisation
 FAIRMED was already in Kathmandu and is still on site. She provides 
information about the shocking conditions in which the survivors are 
living, in improvised shelters with no food or water.",,http://www.fairmed.ch/en,https://www.facebook.com/FAIRMEDschweiz,,http://www.fairmed.ch/en/donations/,http://www.ain.org.np/member_ingos.php
Federation of Community Forestry Users Nepal,,FECOFUN,NGO - Local,Nepal,Early Recovery,Shelter & NFI,,,,"A small team of Green Foundation Nepal, the Federation of Community Forestry Users Nepal (FECOFUN) and Association of Family Forestry Owners Nepal (AFFON) went to the Shankhu, northern part of the Kathmandu City this week. Currently raising funds for distribution of tents and blankets.",,http://fecofun.org.np/,https://www.facebook.com/fecofun,NA,http://www.youcaring.com/emergency-fundraiser/help-green-foundation-nepal-deliver-community-relief/346610,https://www.linkedin.com/pulse/help-green-foundation-nepal-deliver-community-relief-thorsten-arndt
Federation of Nepalese Chambers of Commerce,Operation Relief ,FNCCI,NGO - Local,Nepal,Funding,Assessments,Nutrition,,,"The Federation of Nepalese Chambers of Commerce (FNCCI) has established the Operation Relief Nepal portal listing how to volunteer, medical personnel needs and who to contact, and guidelines for sending donations to Nepal.",,"http://operationreliefnepal.com/map/
http://www.fncci.org/",https://www.facebook.com/fncci,https://twitter.com/OperationRelief,http://operationreliefnepal.com/donate/,HumanityRoad SitRep
Feed The Children,,,NGO - International,USA ,Food Security,,,,,Feed the Children will work with its partners on the ground to assist those families and individuals whose lives were tragically impacted by this devastating natural disaster.,,http://www.feedthechildren.org/,https://www.facebook.com/feedthechildren,https://twitter.com/feedthechildren,https://donate.feedthechildren.org/donation/35ebcbec/,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
FHI 360,,,NGO - International,USA,?,,,,,No information avaliable. Apart from acknowledgement that staff in Nepal from neighbouring countries are accounted for. There is no mention of response. ,,http://degrees.fhi360.org/,https://www.facebook.com/FHI360,https://twitter.com/FHI360,,
Fida International,,,NGO - International,Finland,Health,Shelter & NFI,,,,"5/4: The second grant of Nepal, Nuwakotiin FIDA tomorrow with a load of tents and food supplies. ",,http://www.fidainternational.fi/,https://www.facebook.com/FidaInternational,NA,http://www.fidainternational.fi/donate/,http://www.ain.org.np/member_ingos.php
Finn Church Aid,,FCA,NGO - International,Finland,Shelter & NFI,Funding,Nutrition,,,"FCA is delivering Nepal shelters, tents, blankets, food and non-food items to Nepal. Donated 200 000 euros for emergency relief.",,https://www.kirkonulkomaanapu.fi/,https://www.facebook.com/finnchurchaid,https://twitter.com/fca_global,https://www.kirkonulkomaanapu.fi/en/get-involved/donate/,https://www.kirkonulkomaanapu.fi/en/latest-news/news/the-aid-is-already-reaching-nepalese-families/
Finnish Evangelical Lutheran Mission,,FELM,NGO - International,Finland,Food Security,WASH,Education,Health,,"3 May: ""Aid will arrive in Nepal. Thank you for your help. 
Our employees John Gilroy, tells the story of a trip to yesterday's 
distribution: ""Everyone was given an aid package that included a blanket
 of flakes, rice and noodle."" Heikki was involved in exporting to the 
East of auvstuspaketteja in the province of Bhaktapurin of Kathmandu.""",,http://felm.org,https://www.facebook.com/suomen.lahetysseura,NA,https://lahjoitus.mission.fi/make_donation_fi.php?product_code=39040176729&option_id=551,https://www.facebook.com/suomen.lahetysseura/posts/10153287463859749
First Response Radio,,FRR,NGO - International,International,Telecom,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.firstresponseradio.org,,,,
Ford Foundation,Ford USA/Ford Asia Pacific,,NGO - International,USA,Funding,,,,,"$200,000 USA total donated. $50,000 to  Global Giving and will match up to $50,000 based on Ford employee donations. Another $100,000  Habitat for Humanity International in order to help Ford Asia Pacific contribute to rebuilding efforts following the cleanup.",Education,http://www.fordfoundation.org/,https://www.facebook.com/FordFound?rf=108185902542536,https://twitter.com/FordFoundation,,http://motrolix.com/2015/04/ford-donates-over-200000-to-nepal-earthquake-relief-efforts/#ixzz3YrI5wDrD
Friends of Nepal,,,NGO - International,?,Funding,Health,,,,Friends of Nepal is raising funds to Patan Hospital and Bir Hospital in Kathmandu.,,http://www.friendsofnepal.com/,NA,NA,,http://www.friendsofnepal.com/index.php/where-to-now/
Ganga Ghar,,,NGO - Local,Nepal,WASH,Shelter & NFI,,,,"Support 500 families by giving them shelter, food, and water in Dhadhing and Gorkha region (http://gangaghar.org/the-latest/blog/2015/nepal-earthquake-relief-goals-plan-for-action)",,http://www.gangaghar.org/,https://www.facebook.com/GangaGhar,https://twitter.com/gangaghar,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=ljXjvHduI-Dv-_hu_8RkIGD_Xz4qLh_0dvaMxGGdJbWWU9G8d6egXotmEue&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
Gift of the Givers Foundation,,GOTG,NGO - International,South Africa,Search & Rescue,,,,,"Food, medical equipment, sanitation and other basic necessities - 5m Rand exc. basic food/water. Search & rescue tech and equipment (cameras, Life Locator). 20-36 member team of mixed search & rescue and trauma specialist staff deployed. Likely to be chartering their own flights in & out of Nepal - offering South African nationals free flights home (Estelle van Jaarsveld, one of Gift of the Givers Logistics Co-ordinator, on 0832875988. )",,http://www.giftofthegivers.org/,https://www.facebook.com/GiftoftheGivers,https://twitter.com/GiftoftheGivers,,http://giftofthegivers.org/nepal-earthquake/4839-gift-of-the-givers-respond-to-nepal-earthquake
Global Art Collective,,,NGO - International,USA,Shelter & NFI,Nutrition,,,,"Working with Nepal Grassroots Recovery. We are producing tents, assessing damaged areas, providing food, water and medical supplies.",,http://www.globalartcollective.org/,https://www.facebook.com/GlobalArtCollective?fref=ts,NA,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=RdzkYyiNJpdiNHQ2OT9RFFT3AG9SXkkVNJXSTUlaL8GVZMY1jcrjY7l43be&dispatch=5885d80a13c0db1f8e263663d3faee8d96f000117187ac9edec8a65b311f447e,
Global Communities Partners for Good,,,NGO - International,USA ,Food Security,Shelter & NFI,,,,Global Communities is assessing the damage and working to provide shelter and basic supplies to survivors.,,http://www.globalcommunities.org/,https://www.facebook.com/partnersforgood,https://twitter.com/G_Communities,https://donate.globalcommunities.org/nepal/interaction,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Global Disaster Immediate Response Team,,Global DIRT,NGO - International,International,Search & Rescue,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.globaldirt.org,,,,
Global Fund For Women,,GFW,NGO - International,USA,Funding,,,,,"Fundraising for partner organizations working In Nepal- Saathi, Tewa, Women’s Rehabilitation Centre, and Women for Human Rights (more Information incoming) ",,http://www.globalfundforwomen.org/,https://www.facebook.com/GlobalFundforWomen,https://twitter.com/globalfundwomen,https://www.globalfundforwomen.org/15nepal?utm_medium=web&utm_campaign=Nepalearthquake&utm_source=webappeal,http://www.globalfundforwomen.org/who-we-are/our-mission
Global Giving,,,NGO - International,USA,Funding,,,,,"GlobalGiving has created a Nepal Earthquake Relief Fund to immediately help both local Nepalese nonprofits and international aid organizations. As of May 1, it has raised more than US$1.9 million.

As of April 26, GlobalGiving is raising funds to """"help first responders meet survivors’ immediate needs for food, fuel, clean water, hygiene products, and shelter. Once initial relief work is complete, this fund will transition to support longer-term recovery efforts” (Source: http://www.newshour.com.bd/2015/04/26/how-to-help-nepal-7-vetted-charities-doing-relief-work-following-the-earthquake/)

Recived $50,000 from Ford Foundation.",,http://www.globalgiving.org/,https://www.facebook.com/GlobalGiving,https://twitter.com/GlobalGiving,https://www.globalgiving.org/projects/nepal-earthquake-relief-fund/,http://www.globalgiving.org/projects/relief-fund-to-aid-survivor-of-nepal-earthquake/
Global Impact,,,NGO - International,International,?,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,https://nepal.charity.org/,https://www.facebook.com/globalimpact.charity,https://twitter.com/charitydotorg,,
Global Links,,,Individuals,International,Funding,,,,,Social fund raising platform,,https://connect.clickandpledge.com/Organization/globallinks/Campaign/14530/,https://www.facebook.com/GlobalLinksPgh,https://twitter.com/GlobalLinks3,https://connect.clickandpledge.com/Organization/globallinks/Campaign/14530/Donation?param=NDLU/xbCiLw%3D,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Global Outreach Doc,,Go Docs,NGO - International,USA,Health,Early Recovery,,,,Medical Assistance and canine dogs. Global Outreach Docs team in action at Helping Hands Hospital in Kathmandu ,sent an initial team of 9 people + 3 canine search and rescue dogs.,http://www.globaloutreachdoctors.org/,https://www.facebook.com/GlobalOutreachDoctors,https://twitter.com/Go_Docs,,"https://twitter.com/Go_Docs/status/593295248371150848
HumanityRoad SitRep"
GlobalMedic,,,NGO - International,Canada,Health,WASH,Assessments,,,"A team from Canada will bring water purification equipment, distribute hygiene kits and NFI (non-food item) kits and deploy field hospitals based on needs assessments

April 30: GlobalMedic’s rapid response team will analyze thousands of photographs shot by Unmanned Aerial Vehicles (UAVs) to determine where to distribute water purification units and where to set up 30 inflatable tents — some as large as 18-feet by 36-feet — to replace damaged hospitals, health clinics and schools.  ", ,http://www.globalmedic.ca/,https://www.facebook.com/pages/GlobalMedic/40657997157,https://twitter.com/globalmedicdmgf,http://globalmedic.ca/donate-now,http://www.insidetoronto.com/news-story/5595524-etobicoke-based-global-medic-to-examine-aerial-images-of-nepal-to-plot-out-disaster-relief-distribut/
GNHA,,,NGO - International,,Health,WASH,Education,Shelter & NFI,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
GOAL Global,,,NGO - International,Ireland,Funding,Early Recovery,Health,Shelter & NFI,,"No further updates as of May 4
April 29 – Moving essential provisions - relief kits, shelter materials and hygiene kits - into remote areas spread across a vast geographical landscape (No details provided about the locations). Logistics and distribution are the biggest challenge. Drawing on the assets of GOAL’s operation in India to circumnavigate the log-jam in Kathmandu by bringing supplies over the border from India and into these areas.
Apr 28 - Assessing the situation and preparing to mobilise the full team.
Apr 27 - Emergency Response team arrived. Darren Hanniffy is GOAL’s Emergency Coordinator in Kathmandu.
GOAL is an international humanitarian agency, founded in Ireland, who delivers a range of humanitarian programmes, such as Emergency Response, Disaster Preparedness and Mitigation, Healthcare, Crisis Recovery, Community Development, Education, Livelihoods Development, HIV and Aids, Integrated Development and Slum Development Programmes, Food Distribution, and Water, Sanitation and Hygiene (WASH).","Funding
Early recovery",https://www.goalglobal.org/,https://www.facebook.com/GOALGlobal,https://twitter.com/GOAL_Global,https://www.goalglobal.org/donate,"https://www.linkedin.com/company/goal-global
https://www.goalglobal.org/stories/post/goal-supplies-en-route-to-nepals-worst-affected-areas
https://www.facebook.com/GOALGlobal/posts/1102714586412336"
Good Neighbors International,,,NGO - International,,Health,WASH,Shelter & NFI,Logistics,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,,,,,http://www.ain.org.np/member_ingos.php
GoodWeave International,,GWI,NGO - International,USA,Funding,Early Recovery,Health,Nutrition,Shelter & NFI,"Kathmandu focus. GoodWeave is working to reach its community of beneficiaries with support to recover and rebuild. 
May 3 -Distributed supplies (mattresses, soap, rice, lentils) to displaced weavers and their families at 14 sites.
May 1 - In partnership with United Nations Development Programme - UNDP, GWI is helping to run a mobile healthcare service. Attended over 400 workers in 18 factories in several areas of Kathmandu since the program started on the 30th of April.
Apr 30 - GoodWeave field staff visitedd carpet factories where workers are living in outdoor shelters; Distributed tents and set up mobile medical camps to provide free check-ups and medicine.
GoodWeave International (GWI) is an international nonprofit organization (US. 501c3 status)
working to end child labor in the rug industry and offer educational opportunities to children in weaving communities. Nepal is one of the six countries where GWI operates.","Kathmandu focus. 
GoodWeave International is working to reach its community of beneficiaries with support to recover and rebuild. 
Distributed supplies (mattresses, soap, rice, lentils) at 14 sites.
Helping to run a mobile healthcare service - Attended over 400 workers in 18 factories in Kathmandu 
Distributed tents",http://www.goodweave.org/home.php,https://www.facebook.com/GoodWeave,https://twitter.com/GoodWeave,https://donatenow.networkforgood.org/nepalearthquake,"https://www.facebook.com/GoodWeave/posts/10152726966485563
https://www.facebook.com/GoodWeave/posts/10152720629665563
https://www.facebook.com/GoodWeave/posts/10152722135385563
http://www.goodweave.org/index.php?cid=156
https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnkedUWsxucZQw/edit#gid=1056245383"
Google,,,Corporation,USA,Funding,,,,,Donating 1 million dollars. Google is also operating its People Finder. http://google.org/personfinder/2015-nepal-earthquake/,1 Million Dollars,www.google.com,https://www.facebook.com/Google,https://twitter.com/google,,"http://www.wired.co.uk/news/archive/2015-04/27/facebook-google-nepal-earthquake-emergency-response, http://news.yahoo.com/google-executive-among-hundreds-dead-nepal-quake-215901254--finance.html
http://google.org/personfinder/2015-nepal-earthquake/"
Goonj,,,NGO - International,India,Shelter & NFI,Logistics,Health,,,Gathering supplies to support basic needs and delivering them in-country. ,,http://goonj.org/,https://www.facebook.com/goonj.org,https://twitter.com/goonj,http://goonj.org/?p=23313,
Gorkha Foundation,,,NGO - Local,Nepal,Food Security,Shelter & NFI,,,,Working in relief operation in various places in Gorkha Region,,http://gorkhafoundation.org/,https://www.facebook.com/pages/Gorkha-Foundation/191426006477,https://twitter.com/gorkhafound,https://www.paypal.com/us/cgi-bin/webscr?cmd=_flow&SESSION=CTYuTc2jcFlEF_RPNuNlM566NQd5PTRauMbxykT0CGDcY_9rE7Pu0CfE1_m&dispatch=5885d80a13c0db1f8e263663d3faee8d99e4111b56ef0eae45e68b8988f5b2dd,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
