organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_contact_person,project_contact_position,project_contact_email,project_contact_phone_number,project_website,date_provided,date_updated,status,donors
GlobalGiving,GG-NP-11-10090,8253.0,"",Give Hope and an Education to 7 Kids in Nepal,"Ama Ghar is a home for children who would otherwise be living on the street in terrible conditions. This project will raise funds for our 7 oldest children to continue their education. Government schools in Nepal only teach children through Class 10 -  in order to make our children self-sufficient and employable, they need 2 more years of vocational training or college classes. These children (2 boys, 5 girls) are excellent students and have worked hard for a better life - please help.<br><br> In Nepal, almost 50% of the population is unable to read and write - and the problem is even more prevalent among girls, who are often not believed deserving of education. These 7 children have passed through Class 10 (second year of high school) and deserve an opportunity to continue either in vocational school or college-level courses, for 2 more years. They will benefit, and the community will benefit, from their ability to support themselves.<br><br> If we send these 7 children on for additional schooling, they will be employable, so they can support themselves once they reach the age of 18. These children don't have the family support that is traditional in Nepal at this age; we are their family, and it's our mission to educate them so they can take care of themselves and their country. Most plan to study for practical vocations like hotel management, nursing and medical technician positions.<br><br> It is common in Nepal that people either don't receive a complete education, and they then find it difficult to find employment - or the lucky few who receive a good education often leave the country for greener pastures. For this reason, it's difficult for Nepal, one of the most poverty-stricken nations in the world, to prosper and grow. Our children are committed to staying in their country and making it a better place to live.","","",2011-05-28,2015-11-13,"",Education,"",1408,The Ama Foundation,"","","","",Nepal>Central,"","","bonniefromamaghar@gmail.com,info@ama-foundation.org",977-1-5560652,http://globalgiving.org/8253,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-10110,7746.0,"",Himalayan Healthcare for 5000: Save Lives in Nepal,"Provide essential healthcare services to a remote Himalayan community. There is no other health provision in a 60km radius for a population of over 5000: PHASE health workers are saving lives in Nepal<br><br> Maila village - one of the most remote places on earth, 8 days walk to a road, 2 days walk to the next health post. Typhoid, leprosy, burns, worms and toothache are just some of the problems affecting this community. Due to the lack of essential medicines and health awareness, children die from diarrhea. Malnutrition rates are alarmingly high, as are maternal and child mortality rates as childbirth is rarely assisted by a skilled healthworker.<br><br> This project will provide qualified and dedicated health workers, health education, essential medicine and equipment to ensure the village of Maila, and the surrounding people, particularly women and children, get high quality essential health care.<br><br> The long term impact of providing healthcare to a community with no existing services cannot be overstated -- happier healthier children and adults. Our beneficiaries will have a better quality of life and be more able to break the cycle of poverty.","","",2011-04-01,2015-11-13,"",Health,"",21191,"",PHASE Nepal,"","","",Nepal>Mid-Western,"","",phase@wlink.com.np,+977 97 41039175,http://globalgiving.org/7746,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-10111,7797.0,"",Literacy and Livelihoods for 445 Women in Nepal,"This project will run literacy classes for 156 women and activities for a total of 445 people, as a foundation for opening businesses, managing their own finances and forming community groups.<br><br> Women who speak minority languages face many levels of exclusion in Nepal. Many did not attend school or were forced to drop out to take care of younger brothers and sisters and work in the fields.  If they were in school, unless they could speak Nepali they were unlikely to learn to read, write, or understand math.  Illiteracy deprives women access to information that would help them be better mothers, run family based businesses or take part in community discussions and decisions.<br><br> LDC will run livelihoods training and literacy classes in the local language and Nepali. Materials will be on topics relevant to students' lives, such as maternal and family health, agriculture and the political system.<br><br> Four hundred forty five women in rural communities in Nepal will lead improved lives through literacy and livelihoods training.","","",2011-04-01,2015-11-13,"","Economic Recovery and Development,Education","",9374,"",Language Development Centre - Nepal,"","","",Nepal>Mid-Western,"","",pushker.kadel@gmail.com,977-01-5520901,http://globalgiving.org/7797,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-10112,8179.0,"",Healthcare & Opportunity in the Hidden Himalayas,"This project provides basic health care and health education in the least developed area of Nepal. There are no roads or  infrastructures in Humla and the government health system is disfunctional. Maternal and child mortality rates are some of the highest in the world (<30%). More than 45000 people live in the district. The project is integrated with renewable energy and income generation projects to promote a healthier lifestyle and a secure future for, particularly, women and children.<br><br> There is a lack of basic health services and low levels of health awareness among the population in Humla which contribute to high levels of ill-health, disease and malnutrition. The basic causes are associated with  sociological, cultural, structural, political, economic issues and the lack of livelihood opportunities to break the grinding cycle of poverty. In recent years these problems have been exacerbated by political instability and armed conflict. More than 12000 people will be helped.<br><br> The aim is to promote social reconstruction by developing an improved and sustainable primary healthcare delivery system at grass-roots level, which falls within the new Government policy, paired with income generation and capacity building measures. The main focus will be on mother and child health care to provide an accessible, efficient and improved health infrastructure and services. We will raise awareness through education about health, hygiene, family planning, sanitation and nutrition.<br><br> More than 12000 villagers will have better access to upgraded primary healthcare services. This will reduce maternal and child mortality rates and raise general awareness of both communicable and non-communicable diseases. Health promotion and education programmes including family planning, sanitation and nutrition will help promote a healthier lifestyle. The health programme together with clean energy and income generation programmes will lead to a much healthier life for the majority.","","",2011-06-20,2015-11-13,"",Health,"",8352,The Nepal Trust,"","","","",Nepal>Mid-Western,"","",tony.sharpe1@btinternet.com,01343 830742,http://globalgiving.org/8179,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-10113,8860.0,"","Saving lives, one birth at a time","One Heart World-Wide trains local providers and provide outreach to local communities to ensure that pregnant women and their newborns survive pregnancy and delivery. All of our programs are culturally adapted to the local context and designed and implemented in collaboration with the local communities.<br><br> The population of Dolpa district consists of about 40,000 people living in very remote rural communities in the foothills of the Himalayas. Most women have no pregnancy-related contact with modern health services and maternity services are under-utilized and low in quality. About 90% of all deliveries occur at home and less than 5% of all deliveries are attended by trained personnel.<br><br> One Heart World-Wide will train 300 community health volunteers and 10 midwifes in life-saving skills for pregnancy and delivery. We also provide equipment to our trainees, equip 4 birthing centers in remote locations and facilitate emergency evacuation of obstetric emergencies. The trained personnel encourages and facilitates the access of pregnant women to essential services for pregnancy and delivery.<br><br> Our programs aim to increase by at least 30% the following proportions; women who receive at least three prenatal care visits;  women who are taking prenatal supplements; and deliveries attended by a trained birth attendants.   Among the women who deliver at home, we are aiming to increase the number of women delivering with a clean and safe birth kit by at least 50%.","","",2011-12-28,2015-11-13,"",Health,"",2866,One Heart World-Wide,"","","","",Nepal>Mid-Western,"","",arlenesamen@gmail.com,4159949433.0,http://globalgiving.org/8860,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-11-9663,9523.0,foodsecurity_site,"Her Farm, a home for women in Nepal","Domestic abuse in Nepal is rampant. The leading cause of death among women of childbearing age is suicide. Widows are tossed out and branded as witches. Victims of the sex trade are shunned by families. These women have no where to go. They are skilled farmers, they can support themselves and feed their children if they have a little land. Our farm cooperative will provide them with shelter and place to grow food. That's the essential needs, without which they will stay trapped in abuse.<br><br>10,000 Nepali girls are trafficked into South Asian brothels every year. They will not be taken back by their families. 1000 workers leave Nepal daily, many of them women, for work overseas.  Frequently underpaid and sexually abuse by their employers, their families refuse to let them come home and so they are alone, and with no means of support. Often they turn to the sex industry in Nepal for work in order to survive. They work massage parlors and ""cabin bars"" as they have no other options.<br><br>These women are skilled farmers, they can support themselves and feed their children if they have a little land. Our farm cooperative will provide them with shelter and place to grow food. That's the essential needs, without which they will stay trapped in abuse. This project is sustainable in one year. <br><br>We've purchased two plots of land in the village of Mankhu and are moving women in now. We need to construct much more housing however as we can't meet the demands for occupancy on this farm.<br><br>The current scope is large enough for 30 women and their children. That's what the land we have can support. There's no reason not to take this to scale and establish hundreds of women's cooperative farms where women and their children can work, grow their own food and live independently. There's enough welfare in Nepal, we aren't into welfare. This is a hand up, not a hand out. It's not marginal handicraft work that really isn't dependable either. The women of Nepal are resourceful farmers.","","",2011-12-22,2015-11-13,"",Agriculture,"",2628,The Mountain Fund,"","","","",Nepal,"","",mtnfund@mountainfund.org,505-830-9808,http://globalgiving.org/9523,2014-11-25,2015-01-07,active,Private donations
GlobalGiving,GG-NP-12-10091,10193.0,foodsecurity_site,"Empower Nepalese Women-Goats, Latrines, Cookstoves","This project empowers women in the remote Northern Dhading District of Nepal such that they can free themselves from situations of domestic violence as well as lead healthier, more educated lives. Through the donations of 4 goats per family, women will be able to sustain themselves and their families, economically. With economic viability they can then build latrines and cook stoves to reduce diarrhea and respiratory problems in their villages.<br><br> Our project seeks to eradicate the problems that poverty creates in the remote villages of Tipling and Shertong, Nepal. Living in poverty gives rise to domestic abuse and alcoholism in the home. Due to a lack of education, sanitary latrine systems are not available, nor is safe drinking water. In addition, current cooking methods used there are unsafe and create toxic byproducts. As women play a central role in the functions of the home in Nepal, they are most affected by these issues.<br><br> Our project gives poor, low caste Kami women goats, latrines, and safe cook stove materials. All villagers will be educated on how sanitary latrines and safe cooking stoves will improve their health. And because women have the responsibility for water collection, meal preparation and domestic hygiene, they are also given special instructions about health and sanitation.<br><br> We seek to provide women with 4 goats each. Owning a goat creates opportunities so that women are economically stable enough to leave situations of abuse in the home. Sanitary latrines allow for the safe restructuring of the water and sanitation systems. Safer cook stoves mean that women and children are no longer subject to environments of toxic smoke. By empowering and educating women, healthier and safer villages are the result of this project, affecting about 1500 people in total.","","",2012-04-02,2015-11-13,"","Agriculture,Water Sanitation and Hygiene","",8691,GlobeMed at CU Boulder,"","","","",Nepal>Central,"","","ucboulder@globemed.org,ellie.falletta@gmail.com",9703890578.0,http://globalgiving.org/10193,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10092,10438.0,"",Heal children's lives with corrective surgery,"Through our mobile Corrective Surgery Program based in Nepal, Children's Medical Aid Foundation has helped heal the lives of hundreds of Nepalese children born with disfiguring birth defects. At an average cost of just $200 per child for transportation, surgery, therapy and family support services, we seek to reach at least 100 children each year in remote rural areas of Nepal, restoring their ability to go to school, socialize with other children, and grow up to live productive lives.<br><br> Two percent of Nepalese children are born each year with a disfiguring birth defect, a higher rate than for children born in Western countries. Some contributing factors are poor nutrition, inherited tendencies, absence of prenatal care, and mineral deficiencies during gestation. For many children, surgical intervention may be their only chance to be freed from the stigma, shame and handicaps associated with a disfiguring birth defect.<br><br> While some organizations focus on the important work of correcting cleft lip and palate defects, CMAF provides outreach and sponsors surgeries for children with other types of birth defects, such as facial hairy moles, syndactyly (webbed fingers or toes), polydactyly (supernumerary fingers or toes), microtia (under-developed ears), and hypospadius (male genito-urinary problems), These children have few, if any, effective treatment alternatives without CMAF's assistance.<br><br> A child with a disfiguring birth defect is often ostracized from other children and the broader community. These children often remain hidden in their homes, unable to go to school and with dim prospects for working or marrying and having a family of their own. Surgical reconstruction offers these children with functional and aesthetic benefits, transforming their futures with the hope of a normal childhood and better life.","","",2012-06-20,2015-11-13,"",Health,"",6665,Children's Medical Aid Foundation,"","","","",Nepal>Central,"","",childmedaid@gmail.com,707-938-1807,http://globalgiving.org/10438,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10093,12310.0,foodsecurity_site,Support 20 Nepali orphans feed and go to school.,"This project   has been created   by Community Development Center(CDC) Kathmandu Nepal to assist  an orphanage  entitled  Sarita Children Home,  Samakhusi    Kathmandu. This project will   help  feed  20 orphaned and helpless kids  of the  organization and as well as  support   to  create educational opportunity  for them   at one of the best schools  in Kathamndu so that they can be self dependent in their future <br><br>.<br><br> There  are 20 orphaned and helpless  kids  at Sarita Children Home Samakhushi Kathammndu . Because of lack of  sufficient fund  the organization has been unable   to provide sufficient  food  to them.   As a result some of the have been suffering from Malnutrition.   The organization does not have enough   fund to pay for their   educational expenditures well as their medical bills and other administrative cost.<br><br> This project will   help raise fund  from private donors, charitable organizations  and individuals  to help   to help the orphanage  to  feed   20  orphaned and helpless children and  pay  for their   school education bills medical bills, house rent as well  as other maintenance costs and help run the organization smoothly.<br><br> With the help of the project the 20 children will be able to have enough food to eat, get medical treatment,  obtain quality education  and will be self dependent in   their future <br><br>","","",2012-11-26,2015-11-13,"","Education,Health,Protection","",4086,"","Community Development Center Kathmandu, Nepal","","","",Nepal>Central,"","",mkafle2012@yahoo.com,00977 -9808984925,http://globalgiving.org/12310,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10094,12477.0,"",Bring healthcare to thousands in rural Nepal,"Himalayan HealthCare (HHC) has been working in Nepal for 20 years to deliver health, education and income-generating programs to 265,000 individuals in hard-to-reach villages, most of which are accessible only by foot. HHC trains local health providers and supports community education programs on nutrition, disease prevention and family planning, offering long-term, sustainable solutions to Nepal's health and development challenges.<br><br> Nepal is one of the world's least developed countries. Half the population lives in poverty, with high rates of malnourishment, child mortality and illiteracy. A decade-long civil war further hindered the government's ability to provide healthcare. The Ilam region, high in the Himalayas, previously had only one doctor to serve its entire population of 250,000, leaving villagers without adequate healthcare and forcing many to travel long distances to clinics in the lowlands or Indian bordertowns.<br><br> HHC's Dr. Parajuli Community Hospital, built in 2004, provides Ilam villagers with 24-hour medical care, including basic surgery, prenatal care and dental and optometry services. More than 7,600 patients have been treated in 2012 alone through in-house services and 5 mobile camps in surrounding villages. HHC's services have changed countless lives and helped reduce the infant mortality rate in certain villages it serves from 225 per 1,000 births to 15 per 1,000, well below the national average.<br><br> HHC's Community Hospital was founded on the belief that government provision of healthcare has failed the people of Nepal and that sustainable healthcare must instead be rooted in community institutions supported by the local population through fees for service and donations. With help from donors like you, HHC hopes to create a self-sustaining hospital that can be turned over to the people of Ilam and that will serve as a model for similar projects in other hard-to-reach parts of Nepal.","","",2012-11-26,2015-11-13,"",Health,"",18641,Himalayan Healthcare,"","","","",Nepal>Central,"","","mcfanzo@yahoo.com,jmgancurragh@yahoo.com",917-609-3565,http://globalgiving.org/12477,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10095,12561.0,"",HOPAD Child and Women Capacity building Project,"This project shall provide the helpless, orphaned, poor, affected, and Dalit women and children of Nepal with quality training and education opportunities, reliable healthcare, and a stable living environments, thereby ensuring the future success of Nepal's next generation.<br><br> Each year, 1,578 children lose their parents in Nepal. Of those, only 20% are received by a relative or children's home. This means 1,262 children become homeless each year in Nepal. Within the rural areas of Nepal, women without skills training or education are finding it more difficult to maintain their families and support their children. In some cases, it is found necessary to give away, abandon, or force their children into hard labor to maintain home stability.<br><br> By providing the quality training and education opportunities, reliable healthcare, and a stable living environments to the women & children of Nepal, we can ensure the future success of Nepal's next generation. HOPAD shall provide the women within the rural area of Dang, Nepal with professional training in tailoring and embroidery so they may acquire the knowledge necessary to support themselves and their families.<br><br> HOPAD's programs strive to provide quality training and education opportunities, improve health and social conditions, and demonstrate strong, stable living conditions. By planting these simple fundamental seeds in the marginalized women and children of Nepal, HOPAD aspires to grow generations of well educated, physically and financially stable, and proud, capable Nepali people.","","",2012-11-26,2015-11-13,"","Economic Recovery and Development,Health","",8398,"",Hopad Child and Women Promotion Society,"","","",Nepal>Central,"","",info@hopadcwps.org.np,97715592992.0,http://globalgiving.org/12561,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10102,10064.0,foodsecurity_site,Feed and Send 13 Nepali Rural Orphans to school.,"This project supports the Sankhuwasabha Education Scholarship Foundation (SESF) Khandbari to feed 13  orphaned, abandoned and helpless kids from an orphanage entitled from Child Welfare Home (CWH) Khandbari, in eastern Nepal. With the project we will able to provide parents' love and care to them, manage quality education up to graduate level for them and help them be self dependent in their future life.<br><br> There are 13 orphaned, abandoned and helpless kids at the orphanage Child Welfare Home Khandbari in eastern Nepal.  They are 5 girls and 7 boys from 6 to 16 years of age.  Because of lack of sufficient fund the organization is unable provide sufficient food to them. They have lack of money to pay for their educational  cost as well as medicine bills. Because of lack of fund the organization is in a position to close for ever. There is nobody  to take care of them.<br><br> This project helps Sankhuwasabha Education Scholarship Foundation (SESF) collect on line donations from private donors and charitable organizations for 13 kids at orphanage around the world. The fund will help us to run the orphanage for the kids. With the fund we will pay house on rent, employ a caretaker mother to take care of  them. With them we will feed them three times a day, pay for  their medicine bills, manage quality education for them and make self dependent in their future life.<br><br> This project will provide 13 orphans and their care mother with safe shelter, educational opportunities, medical care, and perhaps most importantly, love and support. As a result of long-term support, these children will have the opportunity to continue their education and eventually lift themselves out of extreme poverty. Their future successes will also allow them to contribute to their surrounding community in a meaningful way and help bring more visibility to the plight of orphans.","","",2012-04-01,2015-11-13,"","Education,Food Aid,Health,Safety nets","",8884,"",Sankhuwasabha Education Scholarship Foundation (SESF),"","","",Nepal>Eastern,"","",info@makaluaruntreks.com.np,00977-29560716,http://globalgiving.org/10064,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-10103,10765.0,"",Empower girls & their communities in rural Nepal,"Edge of Seven's Community Development Program brings education and economic opportunity to girls in rural Nepal. With a focus on improving infrastructure (like schools, dorms, and water supplies), the program utilizes a community centric-approach to fight poverty alongside local families (most of whom live on less than $1 a day). Projects this year will support 2 villages in rural Nepal, improve educational outcomes for 150 women and girls and have a ripple effect on the 5,000 village residents.<br><br> While poverty levels have dropped in recent years,  24.8% of people in Nepal still live on less than $1.25 per day. Poverty levels are negatively impacted by both low secondary school enrollment rates and the lack of appropriate infrastructure in a country with difficult terrain. Just 32% of young women (between the ages of 20 and 24) have received at least a secondary education. Edge of Seven's Community Development Program was founded to specifically address these issues.<br><br> The Community Development Program offers girls, their families and their villages increased access to educational opportunities with a goal of reducing poverty in rural Nepal. Program components include improving schools, building additional schools, creating access to clean water sources, and educating girls and families through workshops. This year, Edge of Seven plans to build both a women's community center and a higher secondary school extension with curriculum in community development.<br><br> When women and girls are educated, they tend to marry later, suffer less abuse, live healthier lives, and reinvest 90% of what they earn back into their communities. This year Edge of Seven's Community Development Program will offer educational opportunities to hundreds of individuals, creating a ripple effect in the entire region of rural Nepal. While this particular program will be driven from a local level, it will have a global impact, helping Nepal to reach the Millennium Development Goals.","","",2012-09-05,2015-11-13,"",Education,"",6440,Edge of Seven,"","","","",Nepal>Eastern,"","",sarah@edgeofseven.org,720-384-4537,http://globalgiving.org/10765,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-12-9664,10071.0,"",Support for 150 Sexually Exploited Women in Nepal,"Raksha Nepal is dedicated to protecting women who were sexually exploited by the vulnerability of their employment. Raksha Nepal going to helps at least 150 women and girls who are working in so-called entertainment sector(Dance,massage parlor, Cabin restaurant) through skill training's (Swing Cutting, Beauty Parlor, Driving, Cookeries and Handy craft).Raksha aiming escape to women and girls from this dangerous and abusive industry and establish a safe and secure future through skill training's.<br><br>From the different areas of Nepal;various data and research shows that around 50,000 women and girls are working in cabin restaurants, massage parlor and dance bar with in the valley, this is in growing pattern since for this they do not need any additional qualification and is the only way in which they can rely to earn their and their family's life. This project will support and protect a huge number of innocent women and girls who are victimized by sexual exploitation and Trafficking.<br><br>Raksha Nepal is running vocational trainings program for women & girls working in places with high risk of sexual exploitation and trafficking. It conducts awareness and to empower women with leadership development and skill enhancement. Beside this it is running Raksha Shree cooperative, rehabilitation and reintegration program, psycho- social and trauma counseling, women's school and educational support for the women and girls who are at high risk and are victims of sexual exploitation.<br><br>RN has already starting working with those women and girls who are working by force in so called entertainment sector.  We will enable women and girl who are exploited or at high risk of exploitation to be economically independent We have targeted 150 women and girls as our direct beneficiaries to whom we will be providing skill enhancement trainings (beautician, Driving, swing/cutting, handicraft, Cooking) and after the completion of training they will be set up their own small business.","","",2012-04-02,2015-11-13,"","Economic Recovery and Development,Protection","",5555,"",Raksha Nepal,"","","",Nepal,"","",rabinmalla2008@gmail.com,977-98510-76-232,http://globalgiving.org/10071,2014-11-25,2015-01-07,active,Private donations
GlobalGiving,GG-NP-13-10075,13722.0,"",Provide Clinic Supplies for Patients in Nepal,"Mindful Medicine Worldwide has begun a new health clinic in Bhotechaur, Nepal. This project will supply the clinic with the supplies it needs to treat over 200 patients a week. Some patients travel 4 hours to receive treatments. Due to the high number of patients we are working to ensure that there are always enough supplies in stock.<br><br> In December, Mindful Medicine Worldwide expanded, sending practitioners to a new clinic in Bhotechaur, a rural farming village about 2 hours outside of Kathmandu. They are treating 30-40 patients a day, and arriving each morning to a line of 60+ hopeful patients. The clinic treats patients for a variety of healthcare needs, such as advanced COPD, typhoid fever, and paralysis. Because of the overwhelming positive response, clinic supplies are drastically needed to keep up with patient care.<br><br> This project provides our clinicians with the supplies they need to maintain the healthcare of over 200 patients a week.<br><br> MMW provides an education in Chinese Medicine to a local Nepalese students as a way of creating a sustainable form of healthcare within the community. Having the necessary supplies in the clinic helps to continue this mission, providing not only Bhotechaur, but many nearby villages with life-long, affordable community healthcare.","","",2013-04-11,2015-11-13,"",Health,"",5872,Mindful Medicine Worldwide,"","","","",Nepal>Central,"","",bvallarta@gmail.com,773-951-4036,http://globalgiving.org/13722,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10076,13933.0,"",Stop Child Brides in Nepal,"The biggest barrier to keeping girls in school is the cost of a uniform, shoes and supplies.Girls often drop out of school because they lack these simple and cheap things. Once out of school there is tremendous societal pressure to marry. <br><br>34% of marriages in Nepal involve girls under the age of 16.  
20% of the nearly 10,000 girls trafficked out of Nepal are under 16.
Staying in school lowers HIV and infant and maternal mortality
Staying in school results in fewer children being born<br><br> The biggest barrier to keeping girls in school is uniforms and fees. Girls often drop out of school because they lack a school uniform. Once out of school there is tremendous societal pressure to marry. 34% of marriages in Nepal involve girls under the age of 16.<br><br>Studies show that providing uniforms, shoes and supplies reduces absenteeism and teen pregnancy rates.<br><br> A school uniform, shoes and school supplies remove the single biggest barrier to keeping girls in school. This project will begin in the village of Mankhu where we have a farm for women (see Her Farm on Global Giving) and expand from there. There are more than 40 girls in the village and we intend to keep them all in school by simply removing this economic barrier. Moreover, if we get a sewing machine we can employ local women to produce the uniforms and increase the incomes for women.<br><br> It's well documented that keeping girls in school results in significant impact in six areas. 
1) Fewer child brides
2) Lower birth rates
3) Reduced infant mortality
4) Reduced maternal mortality
5) Lower rates of HIV
6) Less girl trafficking to the sex trade
All of these are directly impacted by the simple act of removing the financial barrier to keeping girls in school. A uniform, pair of shoes and school supplies costs $45.  <br><br>We will employ local women to make uniforms as well.","","",2013-05-05,2015-11-13,"","Education,Protection","",1047,The Mountain Fund,"","","","",Nepal,"","",mtnfund@mountainfund.org,505-830-9808,http://globalgiving.org/13933,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10096,14643.0,"",Rehabilitation for 50 Children with Disabilities,"The project will raise the quality of life of 50 Children with Disabilities (CwDs) of the poor and marginalized community group of Nepal. The project will benefit 250 people and they will be able to participate in the income generation activities, hence reducing the poverty and increasing the access to education, health, social activities etc. Out of 75 districts in Nepal, Patan CBR has been destination from more than 40 districts.<br><br> According to WHO, there are 3,900,000 People with Disabilities (PwD) in Nepal. Statistics shows majority of the children that are excluded from the education,health,social services are from CwDs. Also, it is found that poverty and disability are interrelated.So, family with 1 CwD has to look after by at least 1 family member and unable to participate in economic activities thus generating poverty. The project benefits family from more than 40 districts of Nepal.<br><br> Patan CBR provides rehabilitation facilities like special education in the form of resource class, epilepsy medicine distribution, skill training like candle, envelop, necklace etc making, daily physiotherapy services from professional physiotherapist and transportation facilities from home to the rehabilitation centre and back to home facilities for the poor and marginalized CwDs. Also, counseling will be provided to the parents of CwDs regarding the physiotherapy.<br><br> The project will benefit some 250 people with 50 families with CwDs.With this rehabilitation service, complexity of CwDs will be reduced whereas quality of life will be raised and the economic status of the families will be uplifted.","","",2013-09-01,2015-11-13,"","Economic Recovery and Development,Health,Protection","",8563,"",Patan Community Based Rehabilitation Organization,"","","",Nepal>Central,"","",loonivaa@gmail.com,977-1-5260291,http://globalgiving.org/14643,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10098,14750.0,"",Lifesaving healthcare for remote farming villages,"In the remote village of Rajabas, a young Nepali doctor, assisted by a staff of six and foreign volunteer medical personnel, is providing critical health care to appr. 100 patients/week.  They are part of the new DCWC Community Hospital that has been bringing comprehensive healthcare services to this previously underserved region of 120,000 poor and marginalized subsistence farmers since 2010. Your support is needed to strengthen and continue our crucial work for these villagers of rural Nepal.<br><br> Thousands of poor rural Nepali families have no access to medical care. Relying on subsistence farming for their livelihood, an injured family member often becomes disabled and a burden for the family. Lack of perinatal care results in increased infant and maternal mortality. Tuberculosis infections rise as families cannot spare a working father or mother to get lengthy treatment far from home. Children die for lack of immunization or medicines for common childhood diseases.<br><br> Our hospital staff will provide 24 hour emergency service, minor surgeries, X-rays, lab tests, immunizations and health check-ups.  Our newly donated ambulance allows us to transport critical patients safely to hospitals in Kathmandu. Our birthing center will provide peri-natal care and deliver critical health services to homebound expectant mothers. Community medical assistants and our health camps will deliver medical care, immunizations and health education to remote villages.<br><br> Our goal is to bring critical medical care to 120000 people in the Kavre/Sindhupalchok/Dolakha/Remechhap districts. We plan to expand inpatient capacity from 15 to 51 beds. The establishment of a tele-medicine center with on-line assistance from specialists will enable us to treat even complicated medical cases in the village and facilitate training of local staff. Health security combined with educational opportunities will provide a greatly improved quality of life for poor Nepali villagers.","","",2013-09-01,2015-11-13,"",Health,"",31880,"",DCWC Nepal - Development of Children and Women Center,"","","",Nepal>Central,"","",kbreibel@hotmail.com,9259387540.0,http://globalgiving.org/14750,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-13-10099,14845.0,"",Stop Girl Trafficking in Nepal,"Every year in Nepal thousands of girls, some as young as 9, are trafficked into exploitation and sexual abuse, their lives destroyed. We can prevent - and prevention is key - this modern slavery by educating girls. We go to the villages, find the girls most at risk, and give them all they need to stay in school - and safe. Education gives them confidence, value to their families and a future. The cost of this switch from dread to hope: $100 a year. That's how we Stop Girl Trafficking. Will you?<br><br> Human trafficking is a crisis in Nepal. Every year, up to 20,000 young girls from the poorest parts of the country are sold or lured by traffickers with promises of marriage or good jobs. Casualties of poverty, illiteracy and a caste system that does not value girls, they are forced into Indian brothels or domestic servitude. In either case, they are slaves. Many are HIV positive within two years, and dead before they reach twenty.<br><br> The way we combat this modern-day slavery is revolutionary and effective. We go into the villages where girls are at risk, and put those girls into school. For a small investment - $100 pays for everything: school fees, books, uniform, tutoring, mentoring - we can keep a girl safe and in school for an entire year. Educating those girls in danger of being trafficked and talking to the community about the risks, spreads awareness through the whole village. And traffickers stop going there.<br><br> We started with 54 at-risk girls 15 years ago. This year we have 10,000 girls in 400 schools across Nepal, and we haven't lost one girl to trafficking. Where we once had to persuade each family, whole villages are now asking to be included. And with each year a girl stays in school, she learns more and gains confidence. The graduates are becoming community leaders and speaking out. They will marry later and educate their own daughters - breaking a vicious cycle.","","",2013-09-02,2015-11-13,"","Education,Protection","",10503,American Himalayan Foundation,"","","","",Nepal>Central,"","",donations@himalayan-foundation.org,4152887245.0,http://globalgiving.org/14845,2014-11-25,2015-01-08,active,Private donations
