"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Blankets, 366 ,366,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Blankets, 164 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of NFI,Household kits (excluding tarpaulins), 164 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin,1333,1333,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of NFI,Household kits (excluding tarpaulins),,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin,,60,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin, 400 ,400,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin, 469 ,469,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin, 300 ,300,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin, 310 ,310,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banakhu,,Distribution of Shelter Material,Tarpaulin,,60,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Syaphru,,Distribution of Shelter Material,Tarpaulin, 108 ,108,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Blankets, 50 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 96 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Construction Materials, 175 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,DaraunePokhari,524 2 05 24 5 037,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Distribution of Shelter Material,Tarpaulin, 6 ,6,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Tool kits and fixings, 4 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Tool kits and fixings, 15 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ghusenisiwalaye,524 2 05 24 5 004,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 50 ,50,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Majhipheda,524 2 05 24 5 008,Distribution of NFI,Household kits (excluding tarpaulins), 65 ,65,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of NFI,Household kits (excluding tarpaulins), 72 , -   ,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mathurapati Phulbari,524 2 05 24 5 039,Distribution of Shelter Material,Tarpaulin,20,20,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahendrajyoti Bansdol,524 2 05 24 5 065,,, 10 ,10,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kushadevi,524 2 05 24 5 062,Distribution of NFI,Household kits (excluding tarpaulins), 1 ,1,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banepa Municipality,524 2 05 24 3 003,Distribution of NFI,Household kits (excluding tarpaulins), 3 ,3,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahendrajyoti Bansdol,524 2 05 24 5 065,Distribution of NFI,Household kits (excluding tarpaulins), 4 ,4,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Rabiopi,524 2 05 24 5 066,Distribution of NFI,Household kits (excluding tarpaulins), 2 ,2,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Birtadeurali,524 2 05 24 5 003,Distribution of Shelter Material,Tents,1,360,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Baluwadeubhumi,524 2 05 24 5 077,Distribution of Shelter Material,Tents,1,1840,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banepa Municipality,524 2 05 24 3 003,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Distribution of Shelter Material,Tents, 1 ,1000,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ghusenisiwalaye,524 2 05 24 5 004,Distribution of Shelter Material,Tents, 1 ,4500,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kolanti,524 2 05 24 5 074,Distribution of Shelter Material,Tents, 1 ,440,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Budhakhani,524 2 05 24 5 027,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ghartichhap,524 2 05 24 5 028,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Sanuwangthali,524 2 05 24 5 010,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Wanakhu,524 2 05 24 5 026,Distribution of Shelter Material,Tents, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kashikhanda ,,Distribution of Shelter Material,Construction Materials, 100 ,622,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kashikhanda ,,Distribution of Shelter Material,Construction Materials, 200 ,822,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kashikhanda ,,Distribution of Shelter Material,Construction Materials, 100 ,922,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Construction Materials, 93 ,181,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Construction Materials,135,316,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Construction Materials,100,416,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Construction Materials, 6 ,422,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Construction Materials, 72 ,494,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Construction Materials, 28 ,522,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Chyamrangbesi,524 2 05 24 5 052,Distribution of Shelter Material,Tarpaulin, 363 ,363,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Milche,524 2 05 24 5 045,Distribution of Shelter Material,Tarpaulin, 540 ,540,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Saldhara,524 2 05 24 5 049,Distribution of Shelter Material,Tarpaulin, 510 ,510,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kabhrenitya Chandeshwari,524 2 05 24 5 038,Distribution of Shelter Material,Blankets, 20 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kabhrenitya Chandeshwari,524 2 05 24 5 038,Distribution of Shelter Material,Blankets, 30 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kattike Deurali,524 2 05 24 5 006,Distribution of Shelter Material,Blankets, 75 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kattike Deurali,524 2 05 24 5 006,Distribution of Shelter Material,Blankets, 45 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kharpachok,524 2 05 24 5 022,Distribution of Shelter Material,Tarpaulin, 1 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banepa Municipality,524 2 05 24 3 003,Distribution of Shelter Material,Tarpaulin, 5 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of Shelter Material,Tarpaulin, 10 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of Shelter Material,Tarpaulin, 15 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kabhrenitya Chandeshwari,524 2 05 24 5 038,Distribution of Shelter Material,Tarpaulin, 10 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kattike Deurali,524 2 05 24 5 006,Distribution of Shelter Material,Tarpaulin, 45 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kattike Deurali,524 2 05 24 5 006,Distribution of Shelter Material,Tarpaulin, 20 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mechchhe,524 2 05 24 5 015,Distribution of Shelter Material,Tarpaulin, 21 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panauti Municipality,524 2 05 24 3 002,Distribution of Shelter Material,Tarpaulin, 5 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Rabiopi,524 2 05 24 5 066,Distribution of Shelter Material,Tarpaulin, 2 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,TukuchaNala,524 2 05 24 5 057,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 26 ,26,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,TukuchaNala,524 2 05 24 5 057,Distribution of Shelter Material,CGI Bundle (72ft/bundle),2,11,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,TukuchaNala,524 2 05 24 5 057,Distribution of Shelter Material,Tents,2,10,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of NFI,Household kits (excluding tarpaulins), 5 ,25,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of Shelter Material,Tarpaulin,5,25,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Acharya Gaon,,Distribution of Shelter Material,Tarpaulin,60,60,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kuttal,,Distribution of Shelter Material,Tarpaulin,125,125,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Sipaghat,,Distribution of Shelter Material,Tarpaulin, 708 ,355,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of Shelter Material,Tarpaulin, 112 ,56,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Tarpaulin, 180 ,180,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tarpaulin, 112 ,112,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChalalGaneshsthan,524 2 05 24 5 047,Cash Distribution,Unconditional Cash," 7,597,500 ",1013,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Chyamrangbesi,524 2 05 24 5 052,Cash Distribution,Unconditional Cash," 2,452,500 ",327,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChyasingKharka,524 2 05 24 5 053,Cash Distribution,Unconditional Cash," 4,905,000 ",654,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Balthali,524 2 05 24 5 051,Cash Distribution,Unconditional Cash," 6,345,000 ",846,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bhugdeu Mahankalchaur,524 2 05 24 5 032,Cash Distribution,Unconditional Cash," 6,375,000 ",850,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Cash Distribution,Unconditional Cash," 11,250,000 ",1500,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Chyamrangbesi,524 2 05 24 5 052,Distribution of Shelter Material,Blankets, 327 ,327,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChyasingKharka,524 2 05 24 5 053,Distribution of Shelter Material,Blankets, 654 ,654,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChalalGaneshsthan,524 2 05 24 5 047,Distribution of Shelter Material,Blankets," 1,013 ",1013,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Balthali,524 2 05 24 5 051,Distribution of Shelter Material,Blankets, 846 ,846,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bhugdeu Mahankalchaur,524 2 05 24 5 032,Distribution of Shelter Material,Blankets, 850 ,850,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Distribution of Shelter Material,Blankets," 1,500 ",1500,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Chyamrangbesi,524 2 05 24 5 052,Distribution of NFI,Household kits (excluding tarpaulins), 327 ,327,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChyasingKharka,524 2 05 24 5 053,Distribution of NFI,Household kits (excluding tarpaulins), 654 ,654,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChalalGaneshsthan,524 2 05 24 5 047,Distribution of NFI,Household kits (excluding tarpaulins),1013,1013,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Balthali,524 2 05 24 5 051,Distribution of NFI,Household kits (excluding tarpaulins),846,846,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bhugdeu Mahankalchaur,524 2 05 24 5 032,Distribution of NFI,Household kits (excluding tarpaulins),850,850,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Distribution of NFI,Household kits (excluding tarpaulins),1500,1500,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Chyamrangbesi,524 2 05 24 5 052,Distribution of Shelter Material,Tarpaulin, 327 ,327,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChyasingKharka,524 2 05 24 5 053,Distribution of Shelter Material,Tarpaulin, 654 ,654,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,ChalalGaneshsthan,524 2 05 24 5 047,Distribution of Shelter Material,Tarpaulin," 1,013 ",1013,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Balthali,524 2 05 24 5 051,Distribution of Shelter Material,Tarpaulin, 846 ,846,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bhugdeu Mahankalchaur,524 2 05 24 5 032,Distribution of Shelter Material,Tarpaulin, 850 ,850,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhungkharka Bahrabisae,524 2 05 24 5 054,Distribution of Shelter Material,Tarpaulin," 1,500 ",1500,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Distribution of Shelter Material,Tarpaulin, 26 ,26,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Distribution of Shelter Material,Tarpaulin, 54 ,54,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bekhsimle Ghartigaon,524 2 05 24 5 086,Distribution of Shelter Material,Tarpaulin, 25 ,25,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kattike Deurali,524 2 05 24 5 006,Distribution of Shelter Material,Tarpaulin, 100 ,100,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Koshidekha,524 2 05 24 5 080,Distribution of Shelter Material,Tarpaulin, 28 ,28,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahadevtar,524 2 05 24 5 031,Distribution of Shelter Material,Tarpaulin, 25 ,25,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Nangregagarche,524 2 05 24 5 009,Distribution of Shelter Material,Tarpaulin, 200 ,200,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Sanuwangthali,524 2 05 24 5 010,Distribution of Shelter Material,Tarpaulin, 30 ,26,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Simthali,524 2 05 24 5 087,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Shelter Trainings,Community Training,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahadevtar,524 2 05 24 5 031,Shelter Trainings,Community Training,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Simthali,524 2 05 24 5 087,Shelter Trainings,Community Training,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Simthali,524 2 05 24 5 087,Cash Distribution,Conditional Cash,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Distribution of Shelter Material,Construction Materials," 435,000 ",29,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Anekot,524 2 05 24 5 067,Cash Distribution,Conditional Cash,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahadevtar,524 2 05 24 5 031,Cash Distribution,Conditional Cash,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Blankets," 2,106 ",,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of NFI,Household kits (excluding tarpaulins)," 4,000 ",,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tarpaulin," 12,364 ",,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tarpaulin," 8,000 ",,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tents, 206 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tool kits and fixings," 4,000 ",,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Cash Distribution,Unconditional Cash," 60,000,000 ",4000,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Sakku,,Distribution of Shelter Material,Tarpaulin, 50 ,50,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Shikhar Ambote,524 2 05 24 5 033,Distribution of Shelter Material,Tarpaulin, 1 ,1,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Lapilang,,Distribution of Shelter Material,Tarpaulin, 456 ,456,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Jyamire,,Distribution of Shelter Material,Tarpaulin," 1,368 ",1368,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mahadevtar,524 2 05 24 5 031,Distribution of Shelter Material,Tarpaulin, 340 ,340,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Milche,524 2 05 24 5 045,Distribution of Shelter Material,Tarpaulin, 245 ,245,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Baluwa Pati Naldhun,524 2 05 24 5 059,Distribution of Shelter Material,Tarpaulin, 64 ,64,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Baluwa Pati Naldhun,524 2 05 24 5 059,Distribution of Shelter Material,Tarpaulin, 579 ,579,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Kuruwas Chapakhori,524 2 05 24 5 012,Distribution of Shelter Material,Tarpaulin, 221 ,221,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Pokhari Narayansthan,524 2 05 24 5 017,Distribution of Shelter Material,Tarpaulin, 72 ,72,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Pokhari Narayansthan,524 2 05 24 5 017,Distribution of Shelter Material,Tarpaulin, 306 ,306,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Phalete,524 2 05 24 5 082,Distribution of Shelter Material,Tarpaulin,618,618,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Pokhari Narayansthan,524 2 05 24 5 017,Distribution of Shelter Material,Tarpaulin,279,279,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mechchhe,524 2 05 24 5 015,Distribution of Shelter Material,Tarpaulin,245,245,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Phalete,524 2 05 24 5 082,Distribution of Shelter Material,Tarpaulin,897,897,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mechchhe,524 2 05 24 5 015,Distribution of Shelter Material,Tarpaulin,337,337,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ryale Bihawar,524 2 05 24 5 064,Distribution of Shelter Material,Tarpaulin,430,430,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ryale Bihawar,524 2 05 24 5 064,Distribution of Shelter Material,Tarpaulin,235,235,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ryale Bihawar,524 2 05 24 5 064,Distribution of Shelter Material,Tarpaulin,195,195,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Blankets, 35 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tents, 384 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Blankets,500,250,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Blankets, 284 ,142,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,,,Distribution of Shelter Material,Tarpaulin, 250 ,250,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banakhu Chour,,Distribution of Shelter Material,Blankets, 648 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Bhimkhori,524 2 05 24 5 025,Distribution of Shelter Material,Blankets, 600 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Budhakhani,524 2 05 24 5 027,Distribution of Shelter Material,Blankets, 600 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Ghartichhap,524 2 05 24 5 028,Distribution of Shelter Material,Blankets, 400 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Tukuchanala,524 2 05 24 5 057,Distribution of Shelter Material,Blankets, 396 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banakhu Chour,,Distribution of NFI,Household kits (excluding tarpaulins), 37 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of NFI,Household kits (excluding tarpaulins), 56 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Tukuchanala,524 2 05 24 5 057,Distribution of NFI,Household kits (excluding tarpaulins), 351 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Banakhu Chour,,Distribution of Shelter Material,Tarpaulin, 18 ,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Tarpaulin,19,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Tukuchanala,524 2 05 24 5 057,Distribution of Shelter Material,Tarpaulin,45,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,CGI Bundle (72ft/bundle),150,150,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,CGI Bundle (72ft/bundle),290,290,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Gairi Bisauna Deupur,524 2 05 24 5 060,Distribution of Shelter Material,CGI Bundle (72ft/bundle),425,425,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Distribution of Shelter Material,CGI Bundle (72ft/bundle),250,250,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Distribution of Shelter Material,Tents,1,1,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Tool kits and fixings, 150 ,150,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Tool kits and fixings, 10 ,10,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Tool kits and fixings,290,290,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Gairi Bisauna Deupur,524 2 05 24 5 060,Distribution of Shelter Material,Tool kits and fixings, 425 ,425,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Jyamdi Mandan,524 2 05 24 5 071,Distribution of Shelter Material,Tool kits and fixings, 250 ,250,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Baluwa Pati Naldhun,524 2 05 24 5 059,Distribution of Shelter Material,Tarpaulin, 340 ,340,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Gairi Bisauna Deupur,524 2 05 24 5 060,Distribution of Shelter Material,Tarpaulin,1000,1000,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Naya Gaun Deupur,524 2 05 24 5 061,Distribution of Shelter Material,Tarpaulin,400,400,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Narayanpur (Fulbari),,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 73 ,73,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Patlekhet,524 2 05 24 5 040,Distribution of Shelter Material,CGI Bundle (72ft/bundle), 27 ,27,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Mangaltar,524 2 05 24 5 023,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Tukuchanala,524 2 05 24 5 057,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panchkhal,524 2 05 24 5 073,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Saping,524 2 05 24 5 084,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Simthali,524 2 05 24 5 087,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Dhulikhel Municipality,524 2 05 24 3 001,Distribution of Shelter Material,Tarpaulin,,,Households,,
Shelter NFIs,Kabhrepalanchok,524 2 05 24,Panauti Municipality,524 2 05 24 3 002,Distribution of Shelter Material,Tarpaulin,,,Households,,
